pairid,argid,propid_to,propid_from,text_to,text_from,relation,abduct_3_cause,abduct_3_obstruct,abduct_3_else
00841_7#00841_7_13,00841,00841_7,00841_7_13,Military tribunals in the US were justified.,"NOT A PRISONER Even if the Geneva Convention could be enforced in U.S. courts, it would not be of assistance to Hamdan at the time because, for a conflict such as the war against al-Qaeda that is not between two countries, it guarantees only a certain standard of judicial procedurea ""competent tribunal""without speaking to the jurisdiction in which the prisoner must be tried.",1,0.00017983831639867276,0.00046757253585383296,0.9993525147438049
00213_7#00213_7_5,00213,00213_7,00213_7_5,Military tribunals in the US were justified.,"NOT A PRISONER Even if the Geneva Convention could be enforced in U.S. courts, it would not be of assistance to Hamdan at the time because, for a conflict such as the war against al-Qaeda that is not between two countries, it guarantees only a certain standard of judicial procedurea ""competent tribunal""without speaking to the jurisdiction in which the prisoner must be tried.",1,0.00017983831639867276,0.00046757253585383296,0.9993525147438049
00841_1#00841_1_2,00841,00841_1,00841_1_2,Military tribunals in the US were justified.,"(<- counter) Opinion that there are NEVER ""EXTRAORDINARY"" CIRCUMSTANCES THAT JUSTIFY SETTING ASIDE CERTAIN ORDGINARY LEGAL PROCEDURES: OnEx Parte MilliganJustice Davis, a 1862 Lincoln appointee, expressed this opinion in a lengthy survey of English history, Pre-Revolutionary history, and the Framing of the Constitution:",-1,9.245526598533615e-05,0.00010361630847910419,0.9998039603233337
00213_5#00213_5_8,00213,00213_5,00213_5_8,Military tribunals in the US were justified.,"(<- counter) Opinion that there are NEVER ""EXTRAORDINARY"" CIRCUMSTANCES THAT JUSTIFY SETTING ASIDE CERTAIN ORDGINARY LEGAL PROCEDURES: OnEx Parte MilliganJustice Davis, a 1862 Lincoln appointee, expressed this opinion in a lengthy survey of English history, Pre-Revolutionary history, and the Framing of the Constitution:",-1,9.245526598533615e-05,0.00010361630847910419,0.9998039603233337
00841_5#00841_5_8,00841,00841_5,00841_5_8,Military tribunals in the US were justified.,"(<- counter) Opinion that there are NEVER ""EXTRAORDINARY"" CIRCUMSTANCES THAT JUSTIFY SETTING ASIDE CERTAIN ORDGINARY LEGAL PROCEDURES: OnEx Parte MilliganJustice Davis, a 1862 Lincoln appointee, expressed this opinion in a lengthy survey of English history, Pre-Revolutionary history, and the Framing of the Constitution:",-1,9.245526598533615e-05,0.00010361630847910419,0.9998039603233337
00213_1#00213_1_5,00213,00213_1,00213_1_5,Military tribunals in the US were justified.,"(<- counter) Opinion that there are NEVER ""EXTRAORDINARY"" CIRCUMSTANCES THAT JUSTIFY SETTING ASIDE CERTAIN ORDGINARY LEGAL PROCEDURES: OnEx Parte MilliganJustice Davis, a 1862 Lincoln appointee, expressed this opinion in a lengthy survey of English history, Pre-Revolutionary history, and the Framing of the Constitution:",-1,9.245526598533615e-05,0.00010361630847910419,0.9998039603233337
00688_3#00688_3_19,00688,00688_3,00688_3_19,Web 2.0 citizen journalism is having a positive effect worldwide.,"The production of ""quality""-content from Web 2.0 P2P forums depends on how these systems are constructed, that there are ""good"" and ""bad"" system designs, and that better and better system designs will emerge to help channel the community toward higher levels of content quality:",-1,0.0001250272907782346,2.180652882088907e-05,0.9998531341552734
01211_3#01211_3_18,01211,01211_3,01211_3_18,Web 2.0 citizen journalism is having a positive effect worldwide.,"The production of ""quality""-content from Web 2.0 P2P forums depends on how these systems are constructed, that there are ""good"" and ""bad"" system designs, and that better and better system designs will emerge to help channel the community toward higher levels of content quality:",-1,0.0001250272907782346,2.180652882088907e-05,0.9998531341552734
00979_3#00979_3_5,00979,00979_3,00979_3_5,Evolution is fact rather than fiction.,"Of the supposed ""transitional fossils"" that have been found, most of them have turned out to be frauds (such as ""Piltdown man""), insufficient bones collected (a supposed ""missing link"" between apes and men in Nebraska turned out to be a pigs tooth), or otherwise explainable.",-1,7.522690430050716e-05,2.472882806614507e-05,0.9999001026153564
00461_3#00461_3_1,00461,00461_3,00461_3_1,Evolution is fact rather than fiction.,"Of the supposed ""transitional fossils"" that have been found, most of them have turned out to be frauds (such as ""Piltdown man""), insufficient bones collected (a supposed ""missing link"" between apes and men in Nebraska turned out to be a pigs tooth), or otherwise explainable.",-1,7.522690430050716e-05,2.472882806614507e-05,0.9999001026153564
00979_2#00979_2_12,00979,00979_2,00979_2_12,Evolution is fact rather than fiction.,"The theory of evolution is based around the idea that creatures genetically mutate to survive better, but mutations (which are often caused by concentration of the gene pool due to competitors with less helpful-to-survival genes having died off) have actually only served to distort a species when they occur.",-1,7.888282561907545e-05,6.132647104095668e-05,0.9998596906661987
00930_4#00930_4_3,00930,00930_4,00930_4_3,A guest worker immigration reform program is a good idea for the United States...,"""The immigration bill passed by the Senate (S. 2611 - w/ guest worker provision) also would contribute to strengthening Social Security finances, according to the Social Security actuaries."" -Center on Budget and Policy Priorities 9/15/06",1,3.3912565413629636e-05,1.9336403056513518e-05,0.9999468326568604
00930_9#00930_9_16,00930,00930_9,00930_9_16,A guest worker immigration reform program is a good idea for the United States...,John McCain (R. - Ariz) and Ted Kennedy (D-Mass) jointly drafted a Guest Worker bill that Arlen Specter then made central in the legislation the his Judiciary Committee then sent onto a Senate vote in S. 2611:,1,6.950707756914198e-05,2.3572190912091173e-05,0.9999068975448608
00461_2#00461_2_10,00461,00461_2,00461_2_10,Evolution is fact rather than fiction.,"The theory of evolution is based around the idea that creatures genetically mutate to survive better, but mutations (which are often caused by concentration of the gene pool due to competitors with less helpful-to-survival genes having died off) have actually only served to distort a species when they occur.",-1,7.888282561907545e-05,6.132647104095668e-05,0.9998596906661987
01115_1#01115_1_3,01115,01115_1,01115_1_3,The Bible is a completely accurate source and the inspired word of God.,"The Genesis account of creation describes the same order of events of the creation of the Earth as modern science does, a remarkable and peerless achievement when compared to the haphazard guesses of other creation stories written in that era of history.",1,8.86152993189171e-05,0.00017803483933676034,0.9997332692146301
00930_4#00930_4_12,00930,00930_4,00930_4_12,A guest worker immigration reform program is a good idea for the United States...,"S. 2611s Guest Worker ""prevailing wage"" provision is designed to protect against wage deflation resulting from employers offering low wages to foreign workers:Charles H. Kuck, Vice President, American Immigration Lawyers Association.]",1,4.036131576867774e-05,2.745047095231712e-05,0.9999321699142456
00930_4#00930_4_6,00930,00930_4,00930_4_6,A guest worker immigration reform program is a good idea for the United States...,"Contention that entitlement costs would be low initially and would be ""modest"" in the long-run because those that would qualify for the guest worker program and any potential path to citizenship are more ""self-supporting"":",1,5.0265694881090894e-05,1.4554845620295964e-05,0.9999351501464844
00841_2#00841_2_4,00841,00841_2,00841_2_4,Military tribunals in the US were justified.,"Marbury v. Madison clearly establishes the Court as the final arbiter of the meaning of the Constitution - it has jurisdiction in all criminal judgements, although Congress, and Congress alone, is Constitutionally permitted to limit the writ of habeus corpus:",-1,0.00016513030277565122,0.00011156589607708156,0.9997232556343079
01115_1#01115_1_8,01115,01115_1,01115_1_8,The Bible is a completely accurate source and the inspired word of God.,"For a lengthier explanation of the correlation of the Genesis account of Creation with the order of arrivals of species suggested by modern scientists, read the first chapter of Dr E.K Victor Pearces book ""Evidence for Truth: Science"".",1,0.00046268178266473114,0.0009253727621398866,0.9986119270324707
00213_2#00213_2_4,00213,00213_2,00213_2_4,Military tribunals in the US were justified.,"Marbury v. Madison clearly establishes the Court as the final arbiter of the meaning of the Constitution - it has jurisdiction in all criminal judgements, although Congress, and Congress alone, is Constitutionally permitted to limit the writ of habeus corpus:",-1,0.00016513030277565122,0.00011156589607708156,0.9997232556343079
00527_1#00527_1_5,00527,00527_1,00527_1_5,Pluto is a Planet. It was not properly classified as a dwarf-planet in 2006.,"The new definition under the IAU will eliminate the possibility that dozens of new ""planets"", under the old definition, be found and that an unmanageable and less meaningful list of ""planets"" emerges:",-1,0.01683294028043747,3.03624492516974e-05,0.9831367135047913
00930_1#00930_1_4,00930,00930_1,00930_1_4,A guest worker immigration reform program is a good idea for the United States...,"Argument that the Guest Worker program, as envisioned in S. 2611, is not ""amnesty"" because the illegals that would register for the program would have to pay a fine for having broken US law:",1,0.00010837902664206922,1.1689518032653723e-05,0.9998799562454224
00841_7#00841_7_19,00841,00841_7,00841_7_19,Military tribunals in the US were justified.,"Justice Alito concluded that tribunals did conform with the requirement in Common Article 3 of the Geneva Conventions that any such tribunals be ""a regularly constituted court"" He argued that Common Article 3 was satisfied in Hamdans case because the military commissions:",1,0.00010063333320431411,7.946870755404234e-05,0.9998199343681335
00930_4#00930_4_21,00930,00930_4,00930_4_21,A guest worker immigration reform program is a good idea for the United States...,"An assessment of the economic, tax burden, and welfare system costs of the immigrant influx that would result from a guest worker and ""path to citizenship"" program:Phyllis Schlafly 6/14/06",-1,4.001156776212156e-05,2.587461131042801e-05,0.9999340772628784
00213_7#00213_7_3,00213,00213_7,00213_7_3,Military tribunals in the US were justified.,"Justice Alito concluded that tribunals did conform with the requirement in Common Article 3 of the Geneva Conventions that any such tribunals be ""a regularly constituted court"" He argued that Common Article 3 was satisfied in Hamdans case because the military commissions:",1,0.00010063333320431411,7.946870755404234e-05,0.9998199343681335
00979_3#00979_3_3,00979,00979_3,00979_3_3,Evolution is fact rather than fiction.,"Because the list of supposed transitional fossils is so long, a list of refutations of them would also be to extensive to include in full in this debate, however, www.answersingenesis.org covers many explanations of these ""transitional fossils"".",-1,0.0002249480749014765,0.00022590237495023757,0.9995490908622742
00930_4#00930_4_14,00930,00930_4,00930_4_14,A guest worker immigration reform program is a good idea for the United States...,"Argument that we don""t need more foreign workers, and that the low unemployment rate in the US through 2006 was misleading because so many weren""t even looking for work:Americans for Immigration Control ""06",-1,8.778126357356086e-05,1.0924412890744861e-05,0.999901294708252
00461_3#00461_3_7,00461,00461_3,00461_3_7,Evolution is fact rather than fiction.,"Because the list of supposed transitional fossils is so long, a list of refutations of them would also be to extensive to include in full in this debate, however, www.answersingenesis.org covers many explanations of these ""transitional fossils"".",-1,0.0002249480749014765,0.00022590237495023757,0.9995490908622742
00278_3#00278_3_1,00278,00278_3,00278_3_1,A global tax is a good idea.,"While the USA would like to see other international actors be held responsible for not acting during humanitarian crises, the US has relied on its role as the worlds premier power in order to justify much of its foreign policy in the post-Cold War era:",-1,0.0001442023931303993,0.0004623944987542927,0.9993934631347656
00441_3#00441_3_2,00441,00441_3,00441_3_2,A global tax is a good idea.,"While the USA would like to see other international actors be held responsible for not acting during humanitarian crises, the US has relied on its role as the worlds premier power in order to justify much of its foreign policy in the post-Cold War era:",-1,0.0001442023931303993,0.0004623944987542927,0.9993934631347656
00915_4#00915_4_6,00915,00915_4,00915_4_6,The United States NSAs warrantless wiretapping program was justified.,"Judge Taylor misused the precedent of the ""Youngstown Sheet and Tube Case"" (seizure of U.S. steel mills in the face of a union strike) and overlooked many of its and subsequent rulings",1,0.000195154789253138,0.00014607585035264492,0.9996587038040161
00505_4#00505_4_2,00505,00505_4,00505_4_2,The United States NSAs warrantless wiretapping program was justified.,"Judge Taylor misused the precedent of the ""Youngstown Sheet and Tube Case"" (seizure of U.S. steel mills in the face of a union strike) and overlooked many of its and subsequent rulings",1,0.000195154789253138,0.00014607585035264492,0.9996587038040161
01270_4#01270_4_18,01270,01270_4,01270_4_18,The United States NSAs warrantless wiretapping program was justified.,"Judge Taylor misused the precedent of the ""Youngstown Sheet and Tube Case"" (seizure of U.S. steel mills in the face of a union strike) and overlooked many of its and subsequent rulings",1,0.000195154789253138,0.00014607585035264492,0.9996587038040161
01211_5#01211_5_3,01211,01211_5,01211_5_3,Web 2.0 citizen journalism is having a positive effect worldwide.,"The Web 2.0 is a much more efficient system than the ""old model"" because it removes barriers to entry, making it possible for those with talents or unique contributions to enter the market and be discovered:",-1,5.935750959906727e-05,1.4298911992227659e-05,0.9999263286590576
01211_2#01211_2_2,01211,01211_2,01211_2_2,Web 2.0 citizen journalism is having a positive effect worldwide.,"Web 2.0 technology is enabling market and democratic forces to be excercised more efficiently, and since these forces are long-term success-stories, Web 2.0 technologies are here to stay:",-1,7.89490295574069e-05,2.735236739681568e-05,0.9998937845230103
00688_5#00688_5_3,00688,00688_5,00688_5_3,Web 2.0 citizen journalism is having a positive effect worldwide.,"The Web 2.0 is a much more efficient system than the ""old model"" because it removes barriers to entry, making it possible for those with talents or unique contributions to enter the market and be discovered:",-1,5.935750959906727e-05,1.4298911992227659e-05,0.9999263286590576
