argid,propid,text,ie
00063,00063_10,"A nuclear Iran is intolerable, justifying military action to prevent.","[[""A nuclear Iran"", ""justifying"", ""military action to prevent""], [""A nuclear Iran"", ""is"", ""intolerable"", ""justifying military action""]]"
00063,00063_10_1,A nuclear Iran would be more inclined to support terrorism,"[[""A nuclear Iran"", ""to support"", ""terrorism""], [""A nuclear Iran"", ""would be"", ""more inclined to support terrorism""]]"
00063,00063_10_2,Iran would be deterred from giving nucs to terrorists,"[[""Iran"", ""from giving"", ""nucs"", ""to terrorists""], [""Iran"", ""would be deterred"", ""from giving nucs to terrorists""]]"
00063,00063_10_3,A nuclear Iran may supply the weapon to terrorists,"[[""A nuclear Iran"", ""may supply"", ""the weapon"", ""to terrorists""]]"
00317,00317_15,The democratic peace theory is correct.,"[[""The democratic peace theory"", ""is"", ""correct""]]"
00317,00317_15_1,The countrys restrictions on extremists were not preventing democracy,"[[""The countrys restrictions on extremists"", ""were not preventing"", ""democracy""]]"
00317,00317_15_2,Yugoslavia was not a true democracy.,"[[""Yugoslavia"", ""was not"", ""a true democracy""]]"
00317,00317_15_3,"Slobodan Milosevic, the leader of Serbia, won several elections.","[[""Slobodan Milosevic"", ""[is] the leader of"", ""Serbia""], [""Slobodan Milosevic"", ""won"", ""several elections""]]"
00397,00397_3,This House believes that Facebook does more harm than good.,"[[""Facebook"", ""does"", ""more harm than good""], [""This House"", ""believes"", ""that Facebook does more harm than good""]]"
00397,00397_3_1,Inappropriate content is not restricted by age.,"[[""Inappropriate content"", ""is not restricted"", ""by age""]]"
00397,00397_3_2,Facebook promotes freedom of speech.,"[[""Facebook"", ""promotes"", ""freedom of speech""]]"
00397,00397_3_3,Facebook fosters hate speech.,"[[""Facebook fosters"", ""hate"", ""speech""]]"
00397,00397_3_4,Social networking sites are a major distraction from learning.,"[[""Social networking sites"", ""are"", ""a major distraction from learning""]]"
00397,00397_3_6,Facebook can be used for educational purposes.,"[[""Facebook"", ""can be used"", ""for educational purposes""]]"
00434,00434_1,It was an acceptable deal.,"[[""It"", ""was"", ""an acceptable deal""]]"
00434,00434_1_1,Deals cuts more modest than GOP wanted; easier on econ.,"[[""GOP"", ""wanted easier""]]"
00434,00434_1_2,"With long-term savings locked, US can refocus on jobs.","[[""US"", ""can refocus"", ""on jobs""], [""long-term savings"", ""locked""]]"
00434,00434_1_3,Spending cuts are phased in slowly to allow recovery.,"[[""Spending cuts"", ""are phased"", ""to allow recovery""]]"
00434,00434_1_4,Bitter debt deals debate undermines confidence in economy,"[[""Bitter debt deals debate"", ""undermines"", ""confidence in economy""]]"
00434,00434_1_5,The debt deal ignores/distracts-from unemployment,"[[""The debt deal"", ""ignores""]]"
00434,00434_1_6,Debt deals modest cuts protect recovering economy,"[[""Debt"", ""deals"", ""modest cuts""]]"
00434,00434_1_7,Debt deal cuts spending too early for recovery,"[[""Debt deal cuts"", ""spending"", ""too early for recovery""]]"
00434,00434_5,It was an acceptable deal.,"[[""It"", ""was"", ""an acceptable deal""]]"
00434,00434_5_1,Deal needed only start deficit reductions.,"[[""Deal"", ""needed start"", ""deficit reductions""], [""Deal"", ""needed"", ""only start deficit reductions""]]"
00434,00434_5_2,Tax deal was win for wealthiest and their lobbyists.,"[[""Tax deal"", ""was win"", ""for their lobbyists""], [""Tax deal"", ""was win"", ""for wealthiest""]]"
00434,00434_5_3,"Slashing spending hurts economy, revenues, and thus deficit.","[[""Slashing spending"", ""hurts thus"", ""deficit""], [""Slashing spending"", ""hurts"", ""revenues""], [""Slashing spending"", ""hurts"", ""economy""]]"
00434,00434_5_4,Deal is purely spending cuts when public wants mix.,"[[""public"", ""wants"", ""mix""], [""Deal"", ""is purely spending"", ""cuts"", ""when public wants mix""]]"
00434,00434_5_5,"Debt deal doesn""t cut spending enough to solve deficit","[[""Debt deal doesn\""t"", ""cut spending enough to solve deficit spending enough""], [""Debt deal doesn\""t"", ""cut"", ""spending enough to solve deficit""]]"
00434,00434_5_6,US debt deal reaffirms core social institutions.,"[[""US debt deal"", ""reaffirms"", ""core social institutions""]]"
00434,00434_5_7,Sweeping statements against the debt deal.,[]
00434,00434_5_8,Debt deal is better than nothing.,"[[""Debt deal"", ""is better than"", ""nothing""], [""Debt deal"", ""is"", ""better than nothing""]]"
00434,00434_5_9,Debt deal makes needed cuts to military budgets.,"[[""Debt deal"", ""makes"", ""needed cuts to military budgets""]]"
00460,00460_3,Obama does deserve a second term.,"[[""Obama"", ""does deserve"", ""a second term""]]"
00460,00460_3_1,Obama has helped fight poverty and help disadvantaged.,"[[""Obama"", ""has helped help"", ""disadvantaged""], [""Obama"", ""has helped"", ""help disadvantaged""], [""Obama"", ""has helped fight"", ""poverty""], [""Obama"", ""has helped"", ""fight poverty""]]"
00460,00460_3_2,Improved health access for disadvantaged.,[]
00460,00460_3_3,Obama has helped protect and advance interests of disabled.,"[[""Obama"", ""has helped advance"", ""interests of disabled""], [""Obama"", ""has helped"", ""advance interests of disabled""], [""Obama"", ""has helped protect protect""], [""Obama"", ""has helped"", ""protect""]]"
00643,00643_9,Colonizing the Moon is a good idea.,"[[""Colonizing the Moon"", ""is"", ""a good idea""]]"
00643,00643_9_1,Knowledge of Moon extensive; colonization adds little,"[[""colonization"", ""adds"", ""little""]]"
00643,00643_9_2,Moon is ideal for extra-terrestrial discovery,"[[""Moon"", ""is ideal for"", ""extra-terrestrial discovery""], [""Moon"", ""is"", ""ideal for extra-terrestrial discovery""]]"
00643,00643_9_3,Too few scientific reasons to colonize the Moon,[]
00643,00643_9_4,Moonbase will help answer remaining scientific questions,"[[""Moonbase"", ""will help answer"", ""remaining scientific questions""], [""Moonbase"", ""will help"", ""answer remaining scientific questions""]]"
00643,00643_9_5,Manned mission to Moon less cost-effective than robotic missions,[]
00643,00643_9_6,The Moon would be ideal site for a space observatory.,"[[""The Moon"", ""would be"", ""ideal site for a space observatory""]]"
00793,00793_2,The US is justified in unilaterally striking targets in Pakistan.,"[[""The US"", ""in unilaterally striking"", ""targets"", ""in Pakistan""], [""The US"", ""is justified"", ""in unilaterally striking targets in Pakistan""]]"
00793,00793_2_1,A unilateral US strike would violate the Pakistani movement to sovereign democracy.,"[[""A unilateral US strike"", ""would violate"", ""the Pakistani movement""]]"
00793,00793_2_2,The Pakistani public would view a US unilateral strike as an invasion,"[[""The Pakistani public"", ""would view"", ""a US unilateral strike"", ""as an invasion""]]"
00793,00793_2_3,The Pakistani people would view unilateral strikes in a good light.,"[[""The Pakistani people"", ""would view"", ""unilateral strikes""]]"
00793,00793_2_4,The Pakistani people would act virulently.,"[[""The Pakistani people"", ""would act virulently""]]"
00862,00862_3,Burying Osama Bin Laden at sea was the right choice.,"[[""Burying Osama Bin Laden at sea"", ""was"", ""the right choice""]]"
00862,00862_3_1,Islamic law flexible to special burials such as Bin Ladens.,[]
00862,00862_3_10,Islamic traditions followed in Bin Laden burial.,"[[""Islamic traditions"", ""followed"", ""in Bin Laden burial""]]"
00862,00862_3_11,Giving Bin Laden religious respects degrades Islam.,"[[""Giving Bin Laden religious respects"", ""degrades"", ""Islam""]]"
00862,00862_3_2,Bin Laden sea burial takes religious sensitivities too far.,"[[""Bin Laden sea burial"", ""takes"", ""religious sensitivities"", ""too far""]]"
00862,00862_3_3,"Sea burial pays respect to Islam, not to Bin Laden.","[[""Sea burial"", ""pays"", ""respect"", ""to Islam, not to Bin Laden""]]"
00862,00862_3_4,"Many Muslims would have preferred to see body, confirm death.",[]
00862,00862_3_5,Why give Osama Bin Laden a dignified religious burial?,[]
00862,00862_3_6,"Land burial only a tradition, not in Quran.",[]
00862,00862_3_7,Bin Laden sea burial violates Islamic tradition.,"[[""Bin Laden sea burial"", ""violates"", ""Islamic tradition""]]"
00862,00862_3_8,Remains buried at sea are considered lost by Muslims.,"[[""Remains buried at sea"", ""lost"", ""by Muslims""], [""Remains buried at sea"", ""are considered""], [""Remains"", ""buried"", ""at sea""]]"
00862,00862_3_9,Sea burial only option consistent with 24-hour Islamic rule.,[]
00915,00915_4,The United States NSAs warrantless wiretapping program was justified.,"[[""The United States NSAs warrantless wiretapping program"", ""was justified""]]"
00915,00915_4_1,"The Supreme Court has long held that the Fourth Amendment allows warrantless searches where special needs, beyond the normal need for law enforcement"" exist","[[""warrantless searches where special needs, beyond the normal need for law enforcement"", ""exist""], [""the Fourth Amendment"", ""allows"", ""warrantless searches where special needs, beyond the normal need for law enforcement\"" exist""], [""The Supreme Court"", ""has held"", ""that the Fourth Amendment allows warrantless searches where special needs, beyond the normal need for law enforcement\"" exist"", ""long""]]"
00915,00915_4_12,"The NSA programs abuses of civil liberties extend well beyond the ""special needs"" category of the law:","[[""The NSA programs abuses of civil liberties"", ""extend"", ""well beyond the \""special needs\"" category of the law""]]"
00915,00915_4_20,The program easily meets the Courts reasonableness test for whether a warrant is required.,"[[""a warrant"", ""is required""], [""The program"", ""easily meets"", ""the Courts reasonableness test for whether a warrant is required""]]"
00915,00915_4_6,"Judge Taylor misused the precedent of the ""Youngstown Sheet and Tube Case"" (seizure of U.S. steel mills in the face of a union strike) and overlooked many of its and subsequent rulings","[[""Judge Taylor"", ""misused"", ""the precedent of the Tube Case""], [""Judge Taylor"", ""misused"", ""the precedent of the \"" Youngstown Sheet Case""], [""Judge"", ""overlooked"", ""many of its and subsequent rulings""]]"
00915,00915_4_9,The NSA programs failure to procure judicial orders violated the fourth (right to privacy) and first amendments (freedom of speech):,"[[""The NSA programs failure to procure judicial orders"", ""violated"", ""the first amendments""], [""The NSA programs failure to procure judicial orders"", ""violated"", ""the fourth ( right to privacy ) amendments""]]"
00915,00915_9,The United States NSAs warrantless wiretapping program was justified.,"[[""The United States NSAs warrantless wiretapping program"", ""was justified""]]"
00915,00915_9_2,The NSA program was legal under Title II of the USA PATRIOT Act entitled Enhanced Surveillance Procedures.,"[[""Act"", ""[is] PATRIOT [of]"", ""USA""]]"
00915,00915_9_3,The administration argued as early as 2004:,"[[""The administration"", ""argued"", ""as early as 2004""]]"
00915,00915_9_4,"Some sources claim,according to Wikipedia, that in order for Title II to be used in defense of the program","[[""Title II"", ""to be used"", ""in defense of the program""], [""Some sources"", ""claim"", ""according to Wikipedia""]]"
00924,00924_3,Wave power is good.,"[[""Wave power"", ""is"", ""good""]]"
00924,00924_3_1,Under-water wave power systems avoid aesthetic concerns.,"[[""Under-water wave power systems"", ""avoid"", ""aesthetic concerns""]]"
00924,00924_3_2,Wave generators degrade the pristine beauty of the environment.,"[[""Wave generators"", ""degrade"", ""the pristine beauty of the environment""]]"
00924,00924_3_3,Under-water wave power is too expensive to solve aesthetics.,"[[""Under-water wave power"", ""is"", ""too expensive to solve aesthetics""]]"
00925,00925_6,The New Start nuclear arms reduction treaty is a good idea.,"[[""The New Start nuclear arms reduction treaty"", ""is"", ""a good idea""]]"
00925,00925_6_1,New START is about national politics not interests.,"[[""New START"", ""is"", ""about national politics not interests""]]"
00925,00925_6_2,Russia will build-up nuclear arms without New START.,"[[""Russia"", ""will build up"", ""nuclear arms""]]"
00925,00925_6_3,Reducing US-Russian nuclear weapons makes for a safer world.,"[[""Reducing US-Russian nuclear weapons"", ""makes"", ""for a safer world""]]"
01026,01026_1,Israels 2008/2009 military bombing and invasion of Gaza was justified.,"[[""Israels invasion of Gaza"", ""was justified""]]"
01026,01026_1_1,"Israels strikes have severely damaged Hamas, secured Israel","[[""Israels strikes"", ""have severely damaged"", ""Hamas""]]"
01026,01026_1_10,Israeli assault on Hamas upholds liberty globally,"[[""Israeli assault on Hamas"", ""upholds globally"", ""liberty""]]"
01026,01026_1_11,"Israels Gaza assault was ""aggression"" not ""self-defense"" under i-law","[[""Israels Gaza assault"", ""was not"", ""under i-law""]]"
01026,01026_1_12,Israel has a right to determine how best to uphold its security.,"[[""Israel"", ""has to determine to uphold"", ""its security""], [""Israel"", ""has to determine"", ""how best to uphold its security""], [""Israel"", ""has"", ""a right to determine how best to uphold its security""]]"
01026,01026_1_13,Israels assault on Gaza was an act of self-defense,"[[""Israels assault on Gaza"", ""was"", ""an act of self-defense""]]"
01026,01026_1_14,Israel cannot be safe with a terrorist regime in Gaza,"[[""Israel"", ""can not be"", ""safe with a terrorist regime in Gaza""]]"
01026,01026_1_2,Hamas will easily rebuild from damage inflicted by Israel,"[[""damage"", ""inflicted"", ""by Israel""], [""Hamas"", ""will easily rebuild"", ""from damage""]]"
01026,01026_1_3,Israel cannot destroy Hamas and end rocket attacks by force,"[[""Israel"", ""can not destroy"", ""Hamas""]]"
01026,01026_1_4,Israels attack of Gaza was not an act of last resort,"[[""Israels attack of Gaza"", ""was not"", ""an act of last resort""]]"
