pairid,argid,propid_to,propid_from,text_to,text_from,relation,ie_conf_any
00063_10#00063_10_1,00063,00063_10,00063_10_1,"A nuclear Iran is intolerable, justifying military action to prevent.",A nuclear Iran would be more inclined to support terrorism,1,0.00876201945183716
00063_10#00063_10_2,00063,00063_10,00063_10_2,"A nuclear Iran is intolerable, justifying military action to prevent.",Iran would be deterred from giving nucs to terrorists,-1,1.8838275634696234e-06
00063_10#00063_10_3,00063,00063_10,00063_10_3,"A nuclear Iran is intolerable, justifying military action to prevent.",A nuclear Iran may supply the weapon to terrorists,1,6.051410036120971e-08
00317_15#00317_15_1,00317,00317_15,00317_15_1,The democratic peace theory is correct.,The countrys restrictions on extremists were not preventing democracy,-1,9.904280326724204e-07
00317_15#00317_15_2,00317,00317_15,00317_15_2,The democratic peace theory is correct.,Yugoslavia was not a true democracy.,1,8.753015688185544e-07
00317_15#00317_15_3,00317,00317_15,00317_15_3,The democratic peace theory is correct.,"Slobodan Milosevic, the leader of Serbia, won several elections.",-1,2.8278037838661603e-10
00397_3#00397_3_1,00397,00397_3,00397_3_1,This House believes that Facebook does more harm than good.,Inappropriate content is not restricted by age.,1,1.0063363223363503e-08
00397_3#00397_3_2,00397,00397_3,00397_3_2,This House believes that Facebook does more harm than good.,Facebook promotes freedom of speech.,-1,0.00045786162652959535
00397_3#00397_3_3,00397,00397_3,00397_3_3,This House believes that Facebook does more harm than good.,Facebook fosters hate speech.,1,2.7819948414278786e-05
00397_3#00397_3_4,00397,00397_3,00397_3_4,This House believes that Facebook does more harm than good.,Social networking sites are a major distraction from learning.,1,0.1514948602546191
00397_3#00397_3_6,00397,00397_3,00397_3_6,This House believes that Facebook does more harm than good.,Facebook can be used for educational purposes.,-1,2.991087866675853e-06
00434_1#00434_1_1,00434,00434_1,00434_1_1,It was an acceptable deal.,Deals cuts more modest than GOP wanted; easier on econ.,1,0.0
00434_1#00434_1_2,00434,00434_1,00434_1_2,It was an acceptable deal.,"With long-term savings locked, US can refocus on jobs.",1,2.00257173646089e-07
00434_1#00434_1_3,00434,00434_1,00434_1_3,It was an acceptable deal.,Spending cuts are phased in slowly to allow recovery.,1,1.256592123455253e-09
