pairid,argid,propid_to,propid_from,text_to,text_from,relation,normarg_nneu2_4_0,normarg_nneu2_4_1,normarg_nneu2_4_2,normarg_nneu2_4_3
00063_10#00063_10_1,00063,00063_10,00063_10_1,"A nuclear Iran is intolerable, justifying military action to prevent.",A nuclear Iran would be more inclined to support terrorism,1,0.04911521890486634,0.5219432955619087,0.027003774370454953,0.43251100433756484
00063_10#00063_10_2,00063,00063_10,00063_10_2,"A nuclear Iran is intolerable, justifying military action to prevent.",Iran would be deterred from giving nucs to terrorists,-1,0.031862684334421555,0.4345622273200457,0.048473980433749946,0.49996825975815584
00063_10#00063_10_3,00063,00063_10,00063_10_3,"A nuclear Iran is intolerable, justifying military action to prevent.",A nuclear Iran may supply the weapon to terrorists,1,0.021214777244540715,0.4273944162846953,0.015961529877069627,0.5007242343772597
00317_15#00317_15_1,00317,00317_15,00317_15_1,The democratic peace theory is correct.,The countrys restrictions on extremists were not preventing democracy,-1,0.04745459338302843,0.4044173192985919,0.05792757510007423,0.4470024855896364
00317_15#00317_15_2,00317,00317_15,00317_15_2,The democratic peace theory is correct.,Yugoslavia was not a true democracy.,1,0.07014207461335675,0.653227779937663,0.017429038890625043,0.22058234784810618
00317_15#00317_15_3,00317,00317_15,00317_15_3,The democratic peace theory is correct.,"Slobodan Milosevic, the leader of Serbia, won several elections.",-1,0.02717471322170505,0.20996830397334956,0.027894105699912918,0.21295397969155005
00397_3#00397_3_1,00397,00397_3,00397_3_1,This House believes that Facebook does more harm than good.,Inappropriate content is not restricted by age.,1,0.023491576999488017,0.14647499557916854,0.02869226692214866,0.13305122283705043
00397_3#00397_3_2,00397,00397_3,00397_3_2,This House believes that Facebook does more harm than good.,Facebook promotes freedom of speech.,-1,0.025738181860529594,0.2555521630041543,0.07619324900264861,0.6282600048414066
00397_3#00397_3_3,00397,00397_3,00397_3_3,This House believes that Facebook does more harm than good.,Facebook fosters hate speech.,1,0.02081917960031212,0.42565442611402793,0.019406621672064292,0.4525331691979221
00397_3#00397_3_4,00397,00397_3,00397_3_4,This House believes that Facebook does more harm than good.,Social networking sites are a major distraction from learning.,1,0.018325865276957388,0.4694503184946442,0.020717956587851753,0.3571496989620952
00397_3#00397_3_6,00397,00397_3,00397_3_6,This House believes that Facebook does more harm than good.,Facebook can be used for educational purposes.,-1,0.006083658922627026,0.2636284264240608,0.014151753459488972,0.5936706864718511
00434_1#00434_1_1,00434,00434_1,00434_1_1,It was an acceptable deal.,Deals cuts more modest than GOP wanted; easier on econ.,1,0.09235940800184109,0.5731639606149369,0.03244936213222632,0.3133727684310016
00434_1#00434_1_2,00434,00434_1,00434_1_2,It was an acceptable deal.,"With long-term savings locked, US can refocus on jobs.",1,0.03326650883723704,0.4913850632275896,0.01390510949967251,0.23268959936843164
00434_1#00434_1_3,00434,00434_1,00434_1_3,It was an acceptable deal.,Spending cuts are phased in slowly to allow recovery.,1,0.014405998420310524,0.22048366758962892,0.00829100263410144,0.18256913612794665
00434_1#00434_1_4,00434,00434_1,00434_1_4,It was an acceptable deal.,Bitter debt deals debate undermines confidence in economy,-1,0.03030990139101268,0.5894251901075899,0.020546588640505584,0.28279298449171564
00434_1#00434_1_5,00434,00434_1,00434_1_5,It was an acceptable deal.,The debt deal ignores/distracts-from unemployment,-1,0.02830870288459039,0.4396942210157472,0.028244021262667177,0.45036292591570976
00434_1#00434_1_6,00434,00434_1,00434_1_6,It was an acceptable deal.,Debt deals modest cuts protect recovering economy,1,0.0793606785852802,0.5552294602833662,0.031169281263694167,0.3293926166386224
00434_1#00434_1_7,00434,00434_1,00434_1_7,It was an acceptable deal.,Debt deal cuts spending too early for recovery,-1,0.048358379401977236,0.4313534690729241,0.048121448998236505,0.45196417118471066
00434_5#00434_5_1,00434,00434_5,00434_5_1,It was an acceptable deal.,Deal needed only start deficit reductions.,1,0.4356660803279349,0.0005659675692669245,0.32583406886558597,0.000670461973111214
00434_5#00434_5_2,00434,00434_5,00434_5_2,It was an acceptable deal.,Tax deal was win for wealthiest and their lobbyists.,-1,0.07524845458399183,0.5101476032736575,0.019163993407031638,0.2537191462710368
00434_5#00434_5_3,00434,00434_5,00434_5_3,It was an acceptable deal.,"Slashing spending hurts economy, revenues, and thus deficit.",-1,0.013835598209139113,0.47424887996641396,0.008284638409615668,0.3179839795834285
00434_5#00434_5_4,00434,00434_5,00434_5_4,It was an acceptable deal.,Deal is purely spending cuts when public wants mix.,-1,0.014691271254550721,0.358305108204459,0.008782954893567466,0.5369593820387494
00434_5#00434_5_5,00434,00434_5,00434_5_5,It was an acceptable deal.,"Debt deal doesn""t cut spending enough to solve deficit",-1,0.0487645420208524,0.46945454735106645,0.041434381074216126,0.416609450419654
00434_5#00434_5_6,00434,00434_5,00434_5_6,It was an acceptable deal.,US debt deal reaffirms core social institutions.,1,0.05473743946315453,0.6020993625514888,0.018047502424199093,0.2616738742745105
00434_5#00434_5_7,00434,00434_5,00434_5_7,It was an acceptable deal.,Sweeping statements against the debt deal.,-1,0.07016239220027141,0.44882380068531597,0.12093006261496779,0.37727209655069427
00434_5#00434_5_8,00434,00434_5,00434_5_8,It was an acceptable deal.,Debt deal is better than nothing.,1,0.17606976693483795,0.41388636671062806,0.06969183501680272,0.48221680278191287
00434_5#00434_5_9,00434,00434_5,00434_5_9,It was an acceptable deal.,Debt deal makes needed cuts to military budgets.,1,0.16633857588756196,0.11015782126509298,0.08509588275441045,0.10119431180818539
00460_3#00460_3_1,00460,00460_3,00460_3_1,Obama does deserve a second term.,Obama has helped fight poverty and help disadvantaged.,1,0.032140742191075586,0.4276621879211892,0.035065078577232386,0.45948106242457976
