pairid,argid,propid_to,propid_from,text_to,text_from,relation,sa_conf_npvp,sa_cons_npvp
00063_10#00063_10_1,00063,00063_10,00063_10_1,"A nuclear Iran is intolerable, justifying military action to prevent.",A nuclear Iran would be more inclined to support terrorism,1,0.6568961892347754,0.8963681290166746
00063_10#00063_10_2,00063,00063_10,00063_10_2,"A nuclear Iran is intolerable, justifying military action to prevent.",Iran would be deterred from giving nucs to terrorists,-1,0.12976285437249382,0.9835190922047916
00063_10#00063_10_3,00063,00063_10,00063_10_3,"A nuclear Iran is intolerable, justifying military action to prevent.",A nuclear Iran may supply the weapon to terrorists,1,0.3016527516044655,0.45049966019501697
00317_15#00317_15_1,00317,00317_15,00317_15_1,The democratic peace theory is correct.,The countrys restrictions on extremists were not preventing democracy,-1,0.17325034438448597,0.31967050268606506
00317_15#00317_15_2,00317,00317_15,00317_15_2,The democratic peace theory is correct.,Yugoslavia was not a true democracy.,1,0.03296699469310823,1.875754790196337e-05
00317_15#00317_15_3,00317,00317_15,00317_15_3,The democratic peace theory is correct.,"Slobodan Milosevic, the leader of Serbia, won several elections.",-1,0.00011264241178760057,0.01357737738402004
00397_3#00397_3_1,00397,00397_3,00397_3_1,This House believes that Facebook does more harm than good.,Inappropriate content is not restricted by age.,1,0.029508339061945832,0.23806655113227584
00397_3#00397_3_2,00397,00397_3,00397_3_2,This House believes that Facebook does more harm than good.,Facebook promotes freedom of speech.,-1,0.11897075116386353,0.12332523724881463
00397_3#00397_3_3,00397,00397_3,00397_3_3,This House believes that Facebook does more harm than good.,Facebook fosters hate speech.,1,0.6348465753470981,0.9765088541419398
00397_3#00397_3_4,00397,00397_3,00397_3_4,This House believes that Facebook does more harm than good.,Social networking sites are a major distraction from learning.,1,0.2673353876975067,0.39368474088148603
00397_3#00397_3_6,00397,00397_3,00397_3_6,This House believes that Facebook does more harm than good.,Facebook can be used for educational purposes.,-1,0.040890472245435315,0.01581965340238949
00434_1#00434_1_1,00434,00434_1,00434_1_1,It was an acceptable deal.,Deals cuts more modest than GOP wanted; easier on econ.,1,0.04970259213911243,0.4243655568247885
00434_1#00434_1_2,00434,00434_1,00434_1_2,It was an acceptable deal.,"With long-term savings locked, US can refocus on jobs.",1,0.0003180691362650599,0.04241040020685293
00434_1#00434_1_3,00434,00434_1,00434_1_3,It was an acceptable deal.,Spending cuts are phased in slowly to allow recovery.,1,0.00020174826621508518,0.31747857626611486
00434_1#00434_1_4,00434,00434_1,00434_1_4,It was an acceptable deal.,Bitter debt deals debate undermines confidence in economy,-1,0.12268320635821175,0.0005331411913908294
00434_1#00434_1_5,00434,00434_1,00434_1_5,It was an acceptable deal.,The debt deal ignores/distracts-from unemployment,-1,0.3827543505841349,0.000403485078059025
00434_1#00434_1_6,00434,00434_1,00434_1_6,It was an acceptable deal.,Debt deals modest cuts protect recovering economy,1,0.000929273076292129,0.28189936107520075
00434_1#00434_1_7,00434,00434_1,00434_1_7,It was an acceptable deal.,Debt deal cuts spending too early for recovery,-1,0.01351789048861682,0.02381770575869766
00434_5#00434_5_1,00434,00434_5,00434_5_1,It was an acceptable deal.,Deal needed only start deficit reductions.,1,0.1710038939437621,0.1646405333515915
00434_5#00434_5_2,00434,00434_5,00434_5_2,It was an acceptable deal.,Tax deal was win for wealthiest and their lobbyists.,-1,0.00021442562769919817,0.31144628634302124
00434_5#00434_5_3,00434,00434_5,00434_5_3,It was an acceptable deal.,"Slashing spending hurts economy, revenues, and thus deficit.",-1,0.1233067696546712,0.00014484427022860125
00434_5#00434_5_4,00434,00434_5,00434_5_4,It was an acceptable deal.,Deal is purely spending cuts when public wants mix.,-1,0.28465082535129127,0.28071395298323343
00434_5#00434_5_5,00434,00434_5,00434_5_5,It was an acceptable deal.,"Debt deal doesn""t cut spending enough to solve deficit",-1,0.08339893089798765,0.0022321677915283136
00434_5#00434_5_6,00434,00434_5,00434_5_6,It was an acceptable deal.,US debt deal reaffirms core social institutions.,1,0.00019261345292705042,0.13965602530593926
00434_5#00434_5_7,00434,00434_5,00434_5_7,It was an acceptable deal.,Sweeping statements against the debt deal.,-1,0.3825740853654055,0.0018247295221457736
00434_5#00434_5_8,00434,00434_5,00434_5_8,It was an acceptable deal.,Debt deal is better than nothing.,1,0.03403909514205509,0.7267704618268084
00434_5#00434_5_9,00434,00434_5,00434_5_9,It was an acceptable deal.,Debt deal makes needed cuts to military budgets.,1,0.0010159394304475398,0.19320259353488703
00460_3#00460_3_1,00460,00460_3,00460_3_1,Obama does deserve a second term.,Obama has helped fight poverty and help disadvantaged.,1,0.014562899553070758,0.8350619000601576
00460_3#00460_3_2,00460,00460_3,00460_3_2,Obama does deserve a second term.,Improved health access for disadvantaged.,1,3.91044854500401e-06,0.0005047145396472848
00460_3#00460_3_3,00460,00460_3,00460_3_3,Obama does deserve a second term.,Obama has helped protect and advance interests of disabled.,1,0.013993973519381536,0.8077212987042955
00643_9#00643_9_1,00643,00643_9,00643_9_1,Colonizing the Moon is a good idea.,Knowledge of Moon extensive; colonization adds little,-1,0.8810951530535281,0.018671327479641755
00643_9#00643_9_2,00643,00643_9,00643_9_2,Colonizing the Moon is a good idea.,Moon is ideal for extra-terrestrial discovery,1,0.002096681518264247,0.968940396336851
00643_9#00643_9_3,00643,00643_9,00643_9_3,Colonizing the Moon is a good idea.,Too few scientific reasons to colonize the Moon,-1,0.9075703615847581,0.040747051477290894
00643_9#00643_9_4,00643,00643_9,00643_9_4,Colonizing the Moon is a good idea.,Moonbase will help answer remaining scientific questions,1,0.01218857470579928,0.1560472414258315
00643_9#00643_9_5,00643,00643_9,00643_9_5,Colonizing the Moon is a good idea.,Manned mission to Moon less cost-effective than robotic missions,-1,0.9229075426371013,0.005231547610848546
00643_9#00643_9_6,00643,00643_9,00643_9_6,Colonizing the Moon is a good idea.,The Moon would be ideal site for a space observatory.,1,0.006772370261285729,0.9887183387391999
00793_2#00793_2_1,00793,00793_2,00793_2_1,The US is justified in unilaterally striking targets in Pakistan.,A unilateral US strike would violate the Pakistani movement to sovereign democracy.,-1,0.9555565155738479,0.8126217000263992
00793_2#00793_2_2,00793,00793_2,00793_2_2,The US is justified in unilaterally striking targets in Pakistan.,The Pakistani public would view a US unilateral strike as an invasion,-1,0.8199479280599353,0.7068032542464727
00793_2#00793_2_3,00793,00793_2,00793_2_3,The US is justified in unilaterally striking targets in Pakistan.,The Pakistani people would view unilateral strikes in a good light.,1,0.659635100146025,0.9223123992804839
00793_2#00793_2_4,00793,00793_2,00793_2_4,The US is justified in unilaterally striking targets in Pakistan.,The Pakistani people would act virulently.,-1,0.047629020891496114,0.985078848683589
00862_3#00862_3_1,00862,00862_3,00862_3_1,Burying Osama Bin Laden at sea was the right choice.,Islamic law flexible to special burials such as Bin Ladens.,1,0.18601489121493128,0.3137932698100665
00862_3#00862_3_10,00862,00862_3,00862_3_10,Burying Osama Bin Laden at sea was the right choice.,Islamic traditions followed in Bin Laden burial.,1,0.07144328214107402,0.12025020197803152
00862_3#00862_3_11,00862,00862_3,00862_3_11,Burying Osama Bin Laden at sea was the right choice.,Giving Bin Laden religious respects degrades Islam.,-1,0.691411050270113,0.3284850108653885
00862_3#00862_3_2,00862,00862_3,00862_3_2,Burying Osama Bin Laden at sea was the right choice.,Bin Laden sea burial takes religious sensitivities too far.,-1,0.9718220228244908,0.7622152615548442
00862_3#00862_3_3,00862,00862_3,00862_3_3,Burying Osama Bin Laden at sea was the right choice.,"Sea burial pays respect to Islam, not to Bin Laden.",1,0.5389671870437072,0.7343910875540471
00862_3#00862_3_4,00862,00862_3,00862_3_4,Burying Osama Bin Laden at sea was the right choice.,"Many Muslims would have preferred to see body, confirm death.",-1,0.02976928284144429,0.09996029214920872
00862_3#00862_3_5,00862,00862_3,00862_3_5,Burying Osama Bin Laden at sea was the right choice.,Why give Osama Bin Laden a dignified religious burial?,-1,0.7829221517235181,0.41677973711790434
00862_3#00862_3_6,00862,00862_3,00862_3_6,Burying Osama Bin Laden at sea was the right choice.,"Land burial only a tradition, not in Quran.",1,0.01781575070661703,0.011758115178241105
00862_3#00862_3_7,00862,00862_3,00862_3_7,Burying Osama Bin Laden at sea was the right choice.,Bin Laden sea burial violates Islamic tradition.,-1,0.973545670097242,0.7635219363094149
00862_3#00862_3_8,00862,00862_3,00862_3_8,Burying Osama Bin Laden at sea was the right choice.,Remains buried at sea are considered lost by Muslims.,-1,0.8677524815680839,0.7311071112696796
00862_3#00862_3_9,00862,00862_3,00862_3_9,Burying Osama Bin Laden at sea was the right choice.,Sea burial only option consistent with 24-hour Islamic rule.,1,0.687727576503248,0.9396032054670368
00915_4#00915_4_1,00915,00915_4,00915_4_1,The United States NSAs warrantless wiretapping program was justified.,"The Supreme Court has long held that the Fourth Amendment allows warrantless searches where special needs, beyond the normal need for law enforcement"" exist",1,0.0005115011217351583,0.055705953362430845
00915_4#00915_4_12,00915,00915_4,00915_4_12,The United States NSAs warrantless wiretapping program was justified.,"The NSA programs abuses of civil liberties extend well beyond the ""special needs"" category of the law:",-1,0.08564551898079613,0.014011011115518737
00915_4#00915_4_20,00915,00915_4,00915_4_20,The United States NSAs warrantless wiretapping program was justified.,The program easily meets the Courts reasonableness test for whether a warrant is required.,1,0.001516352337799491,0.6904675895977151
00915_4#00915_4_6,00915,00915_4,00915_4_6,The United States NSAs warrantless wiretapping program was justified.,"Judge Taylor misused the precedent of the ""Youngstown Sheet and Tube Case"" (seizure of U.S. steel mills in the face of a union strike) and overlooked many of its and subsequent rulings",1,0.06218027702096074,0.00888778302283354
00915_4#00915_4_9,00915,00915_4,00915_4_9,The United States NSAs warrantless wiretapping program was justified.,The NSA programs failure to procure judicial orders violated the fourth (right to privacy) and first amendments (freedom of speech):,-1,0.011088371682831843,0.16794218662163918
00915_9#00915_9_2,00915,00915_9,00915_9_2,The United States NSAs warrantless wiretapping program was justified.,The NSA program was legal under Title II of the USA PATRIOT Act entitled Enhanced Surveillance Procedures.,1,0.009905265805573576,0.7434494956735684
00915_9#00915_9_3,00915,00915_9,00915_9_3,The United States NSAs warrantless wiretapping program was justified.,The administration argued as early as 2004:,1,3.604016254422146e-05,1.4597654471120112e-05
00915_9#00915_9_4,00915,00915_9,00915_9_4,The United States NSAs warrantless wiretapping program was justified.,"Some sources claim,according to Wikipedia, that in order for Title II to be used in defense of the program",-1,0.15351847643863462,0.02702934407219852
00924_3#00924_3_1,00924,00924_3,00924_3_1,Wave power is good.,Under-water wave power systems avoid aesthetic concerns.,1,0.9225177107978617,0.000674502571444497
00924_3#00924_3_2,00924,00924_3,00924_3_2,Wave power is good.,Wave generators degrade the pristine beauty of the environment.,-1,0.2554030475503273,0.8717590549148149
00924_3#00924_3_3,00924,00924_3,00924_3_3,Wave power is good.,Under-water wave power is too expensive to solve aesthetics.,-1,0.9564477809405341,0.0013051327521288695
00925_6#00925_6_1,00925,00925_6,00925_6_1,The New Start nuclear arms reduction treaty is a good idea.,New START is about national politics not interests.,-1,0.589516482317677,0.06972847169107636
00925_6#00925_6_2,00925,00925_6,00925_6_2,The New Start nuclear arms reduction treaty is a good idea.,Russia will build-up nuclear arms without New START.,1,0.5840486795382273,0.07889519521787856
00925_6#00925_6_3,00925,00925_6,00925_6_3,The New Start nuclear arms reduction treaty is a good idea.,Reducing US-Russian nuclear weapons makes for a safer world.,1,0.005789908255248433,0.6095836156265612
01026_1#01026_1_1,01026,01026_1,01026_1_1,Israels 2008/2009 military bombing and invasion of Gaza was justified.,"Israels strikes have severely damaged Hamas, secured Israel",1,0.6130722225389176,0.7361411168167137
01026_1#01026_1_10,01026,01026_1,01026_1_10,Israels 2008/2009 military bombing and invasion of Gaza was justified.,Israeli assault on Hamas upholds liberty globally,1,0.8721638980332249,0.8720630223037578
01026_1#01026_1_11,01026,01026_1,01026_1_11,Israels 2008/2009 military bombing and invasion of Gaza was justified.,"Israels Gaza assault was ""aggression"" not ""self-defense"" under i-law",-1,0.85768090617582,0.9168752701554197
01026_1#01026_1_12,01026,01026_1,01026_1_12,Israels 2008/2009 military bombing and invasion of Gaza was justified.,Israel has a right to determine how best to uphold its security.,1,0.5914509012404326,0.8073327352080897
01026_1#01026_1_13,01026,01026_1,01026_1_13,Israels 2008/2009 military bombing and invasion of Gaza was justified.,Israels assault on Gaza was an act of self-defense,1,0.8201163428619924,0.8722967366416494
01026_1#01026_1_14,01026,01026_1,01026_1_14,Israels 2008/2009 military bombing and invasion of Gaza was justified.,Israel cannot be safe with a terrorist regime in Gaza,1,0.892544598913992,0.6862694732952694
01026_1#01026_1_2,01026,01026_1,01026_1_2,Israels 2008/2009 military bombing and invasion of Gaza was justified.,Hamas will easily rebuild from damage inflicted by Israel,-1,0.9003178169077162,0.4999989956163733
01026_1#01026_1_3,01026,01026_1,01026_1_3,Israels 2008/2009 military bombing and invasion of Gaza was justified.,Israel cannot destroy Hamas and end rocket attacks by force,-1,0.7169741895955082,0.6111107245242842
01026_1#01026_1_4,01026,01026_1,01026_1_4,Israels 2008/2009 military bombing and invasion of Gaza was justified.,Israels attack of Gaza was not an act of last resort,-1,0.9591864719409717,0.9176614398966594
01026_1#01026_1_5,01026,01026_1,01026_1_5,Israels 2008/2009 military bombing and invasion of Gaza was justified.,Israeli attacks on Gaza feed extremist resentment and terrorism,-1,0.9759249583067136,0.8877039620716347
01026_1#01026_1_6,01026,01026_1,01026_1_6,Israels 2008/2009 military bombing and invasion of Gaza was justified.,Military strikes in Gaza re-establish Israeli deterrence,1,0.36614538914392925,0.49198029385329245
01026_1#01026_1_7,01026,01026_1,01026_1_7,Israels 2008/2009 military bombing and invasion of Gaza was justified.,Israeli attacks embolden extremists on both sides in cycle of violence,-1,0.9546963498614524,0.8827362915443349
01026_1#01026_1_8,01026,01026_1,01026_1_8,Israels 2008/2009 military bombing and invasion of Gaza was justified.,Israels assault in Gaza was an act of last resort,1,0.9626728475346752,0.9219877022189295
01026_1#01026_1_9,01026,01026_1,01026_1_9,Israels 2008/2009 military bombing and invasion of Gaza was justified.,Israeli assault may actually increase support for Hamas,-1,0.8227635205437608,0.8241869988894519
01101_13#01101_13_1,01101,01101_13,01101_13_1,The Kyoto Protocol is a good treaty to combat global warming. It is a model for future treaties.,China is actually taking good measures to fight global warming.,1,5.3078516178641736e-05,0.03208373509317258
01101_13#01101_13_2,01101,01101_13,01101_13_2,The Kyoto Protocol is a good treaty to combat global warming. It is a model for future treaties.,Industrial countries caused global warming so should carry burden,1,0.0026116649044968083,0.6435362412954521
01101_13#01101_13_3,01101,01101_13,01101_13_3,The Kyoto Protocol is a good treaty to combat global warming. It is a model for future treaties.,Kyoto regulations on developed nations hurts developing nations,-1,0.0049492265316974015,1.2940982396348133e-05
01101_13#01101_13_4,01101,01101_13,01101_13_4,The Kyoto Protocol is a good treaty to combat global warming. It is a model for future treaties.,Kyoto Protocol wrongly exempts large developing nations.,-1,0.04248277086424501,3.466659131095907e-05
01101_13#01101_13_5,01101,01101_13,01101_13_5,The Kyoto Protocol is a good treaty to combat global warming. It is a model for future treaties.,India/China can be pressured into joining Kyoto or other treaties,1,0.0003160356198496382,0.077261843899691
01151_19#01151_19_1,01151,01151_19,01151_19_1,Single-payer health care is a good idea.,"When the wealthy must use public health care, the system improves",1,3.9666423336963835e-05,0.06002850662792723
01151_19#01151_19_2,01151,01151_19,01151_19_2,Single-payer health care is a good idea.,Many single-payer systems give patients free choice of practitioners.,1,0.0004646431642291948,0.7045505539884309
01151_19#01151_19_3,01151,01151_19,01151_19_3,Single-payer health care is a good idea.,People have a right to pay more for better health care,-1,0.00010520834701320768,0.09915281757260606
01151_19#01151_19_4,01151,01151_19,01151_19_4,Single-payer health care is a good idea.,Universal health care will have rules that decrease patient flexibility,-1,0.04701626780657757,0.01609579351656625
00002_1#00002_1_1,00002,00002_1,00002_1_1,"The US government ""fair use"" copyright clause is a good thing.","Fair use doesn""t give copyright holders enough rights",-1,0.3927589900281287,0.014673562412331406
00002_1#00002_1_2,00002,00002_1,00002_1_2,"The US government ""fair use"" copyright clause is a good thing.",Fair Use provides sufficient protection to copyright-holders to generate significant revenues.,1,0.0007226928391094908,0.937211655002042
00002_1#00002_1_3,00002,00002_1,00002_1_3,"The US government ""fair use"" copyright clause is a good thing.",Fair Use allows reasonable copying of copyrighted works,1,0.0007340865657823953,0.9512807635922412
00002_1#00002_1_4,00002,00002_1,00002_1_4,"The US government ""fair use"" copyright clause is a good thing.",Difficulties in defining Fair Use leads to wasteful court-battles.,-1,0.9496107973123977,0.06669390188429843
00112_7#00112_7_1,00112,00112_7,00112_7_1,"That on balance, the No Child Left Behind Act of 2001. has improved academic achievement in the United States.","No Child Left Behind offers flexibility at state, local level",1,0.0016066711254180497,0.02307150298161174
00112_7#00112_7_2,00112,00112_7,00112_7_2,"That on balance, the No Child Left Behind Act of 2001. has improved academic achievement in the United States.",NCLB state testing is done more widely with greater effect.,1,0.0002139649644527835,0.3990822658281876
00112_7#00112_7_3,00112,00112_7,00112_7_3,"That on balance, the No Child Left Behind Act of 2001. has improved academic achievement in the United States.",No Child Left Behind exerts too much federal power over states.,-1,0.7643193187479532,0.02211208979716364
00112_7#00112_7_4,00112,00112_7,00112_7_4,"That on balance, the No Child Left Behind Act of 2001. has improved academic achievement in the United States.",No Child Left Behind encourages states to set low standards.,-1,0.6517921043607464,0.01715252428532793
00112_7#00112_7_5,00112,00112_7,00112_7_5,"That on balance, the No Child Left Behind Act of 2001. has improved academic achievement in the United States.",Education standards between states are inconsistent under NCLB,-1,0.7328119558617325,0.012144436040227687
00112_7#00112_7_6,00112,00112_7,00112_7_6,"That on balance, the No Child Left Behind Act of 2001. has improved academic achievement in the United States.",Statewide standards are an improvement over major local failures:,1,0.0041022090271481725,0.9927114592557741
00112_7#00112_7_7,00112,00112_7,00112_7_7,"That on balance, the No Child Left Behind Act of 2001. has improved academic achievement in the United States.",States are free to opt out of No Child Left Behind,1,0.6530561521420493,0.06620023893282391
00112_7#00112_7_8,00112,00112_7,00112_7_8,"That on balance, the No Child Left Behind Act of 2001. has improved academic achievement in the United States.",NCLB damages relationship/accountability of schools to community.,-1,0.005802670378498079,0.01156896399153814
00126_11#00126_11_1,00126,00126_11,00126_11_1,The idea of missile defenses in the Czech Republic and Poland is justified.,Iran poses a significant nuclear and ballistic missile threat,1,0.006568898331057313,0.48062641974400055
00126_11#00126_11_2,00126,00126_11,00126_11_2,The idea of missile defenses in the Czech Republic and Poland is justified.,Iran can be deterred; attacking others would result in its annihilation,-1,0.017141037183459166,0.07397956996003016
00126_11#00126_11_3,00126,00126_11,00126_11_3,The idea of missile defenses in the Czech Republic and Poland is justified.,"Iran would not use missiles; they lack ""plausible deniability""",-1,0.8686401095103882,0.008441607407171415
00126_11#00126_11_4,00126,00126_11,00126_11_4,The idea of missile defenses in the Czech Republic and Poland is justified.,Intelligence reports show Iranian threat has been exaggerated,-1,0.09799413718354148,0.007547092296672692
00126_11#00126_11_5,00126,00126_11,00126_11_5,The idea of missile defenses in the Czech Republic and Poland is justified.,Iran is simply not a geopolitical threat to international order,-1,0.11014583582321763,0.0003338292213603223
