argid,propid,text,ie
00015,00015_16,Gay marriage should be legalized.,"[[""Gay marriage"", ""should be legalized""]]"
00015,00015_16_1,Gay marriage should not be banned for tradition,"[[""Gay marriage"", ""should not be banned"", ""for tradition""]]"
00015,00015_16_2,How about washing?,[]
00015,00015_16_3,Being unaccustomed to gay marriage is no argument,"[[""Being unaccustomed to gay marriage"", ""is"", ""no argument""]]"
00015,00015_16_4,Gay marriage threatens cultural tradition of marriage,"[[""Gay marriage"", ""threatens"", ""cultural tradition of marriage""]]"
00015,00015_16_5,Yes.  This is why supporters of same-sex marriage do not fight to legalize polygamy,"[[""supporters of same-sex marriage"", ""do not fight to legalize"", ""polygamy""], [""supporters of same-sex marriage"", ""do not fight"", ""to legalize polygamy""], [""This"", ""is"", ""why supporters of same-sex marriage do not fight to legalize polygamy""]]"
00040,00040_1,Muslim burqa and niqab should be banned.,"[[""niqab"", ""should be banned""], [""Muslim burqa"", ""should be banned""]]"
00040,00040_1_1,Burqa is socially divisive and damaging.,"[[""Burqa"", ""is"", ""socially damaging""], [""Burqa"", ""is"", ""socially divisive""]]"
00040,00040_1_10,"Women should assimilate, or return to Islamist states","[[""Women"", ""return"", ""to Islamist states""], [""Women"", ""should assimilate""]]"
00040,00040_1_11,Burqa can be banned on the grounds that it is indecent.,"[[""it"", ""is"", ""indecent""], [""Burqa"", ""can be banned"", ""on the grounds that it is indecent""]]"
00040,00040_1_12,"Freedom of dress is limited, including for full veil","[[""Freedom of dress"", ""is"", ""limited""]]"
00040,00040_1_13,"""Gods law"" on burqa cannot override secular human rights","[[""Gods law\"" on burqa"", ""can not override"", ""secular human rights""]]"
00040,00040_1_14,Burqa ban violates principles of mutual tolerance,"[[""Burqa ban"", ""violates"", ""principles of mutual tolerance""]]"
00040,00040_1_15,"Burqa undermines identity, responsibility, social compact","[[""Burqa"", ""undermines"", ""identity, responsibility, social compact""]]"
00040,00040_1_16,Face-covering not required in Islam; no religious need,"[[""Face-covering"", ""not required"", ""in Islam""]]"
00040,00040_1_17,"Women should be able to wear what they want, including burqa","[[""they"", ""want""], [""Women"", ""to wear"", ""what they want""], [""Women"", ""should be"", ""able to wear what they want, including burqa""]]"
00040,00040_1_18,"If neo-Nazis can wear their outfits, women can wear burqas.","[[""women"", ""can wear"", ""burqas""], [""neo-Nazis"", ""can wear"", ""their outfits""]]"
00040,00040_1_2,Burqa ban violates religious freedoms,"[[""Burqa ban"", ""violates"", ""religious freedoms""]]"
00040,00040_1_3,"Burqa can be criticized, but ban is excessive","[[""ban"", ""is"", ""excessive""], [""Burqa"", ""can be criticized""]]"
00040,00040_1_4,State should not judge culture/burqa; slippery slope,"[[""State"", ""should not judge"", ""culture/burqa""]]"
00040,00040_1_5,Burqa presents some security/safety risks for others.,"[[""Burqa"", ""presents"", ""some security/safety risks for others""]]"
