pairid,argid,propid_to,propid_from,text_to,text_from,relation,ie_conf_arg0,ie_conf_arg1,ie_conf_arg2,ie_conf_arg2p,ie_conf_any
00015_16#00015_16_1,00015,00015_16,00015_16_1,Gay marriage should be legalized.,Gay marriage should not be banned for tradition,1,0.0,0.0,0.0,0.0,0.0
00015_16#00015_16_2,00015,00015_16,00015_16_2,Gay marriage should be legalized.,How about washing?,1,0.0,0.0,0.0,0.0,0.0
00015_16#00015_16_3,00015,00015_16,00015_16_3,Gay marriage should be legalized.,Being unaccustomed to gay marriage is no argument,1,0.0,0.0,0.0,0.0,0.0
00015_16#00015_16_4,00015,00015_16,00015_16_4,Gay marriage should be legalized.,Gay marriage threatens cultural tradition of marriage,-1,0.0,0.0,0.0,0.0,0.0
00015_16#00015_16_5,00015,00015_16,00015_16_5,Gay marriage should be legalized.,Yes.  This is why supporters of same-sex marriage do not fight to legalize polygamy,-1,0.0,0.0,0.0,0.0,0.0
00040_1#00040_1_1,00040,00040_1,00040_1_1,Muslim burqa and niqab should be banned.,Burqa is socially divisive and damaging.,1,0.0,0.0,0.0,0.0,0.0
00040_1#00040_1_10,00040,00040_1,00040_1_10,Muslim burqa and niqab should be banned.,"Women should assimilate, or return to Islamist states",1,0.0005993837282168915,0.05737880535128426,0.0,0.0,0.05737880535128426
00040_1#00040_1_11,00040,00040_1,00040_1_11,Muslim burqa and niqab should be banned.,Burqa can be banned on the grounds that it is indecent.,1,0.0,0.0,0.0,0.0,0.0
00040_1#00040_1_12,00040,00040_1,00040_1_12,Muslim burqa and niqab should be banned.,"Freedom of dress is limited, including for full veil",1,0.0,0.0,0.0,0.0,0.0
00040_1#00040_1_13,00040,00040_1,00040_1_13,Muslim burqa and niqab should be banned.,"""Gods law"" on burqa cannot override secular human rights",1,0.0,0.0,0.0,0.0,0.0
00040_1#00040_1_14,00040,00040_1,00040_1_14,Muslim burqa and niqab should be banned.,Burqa ban violates principles of mutual tolerance,-1,0.0,0.0,0.0,0.0,0.0
00040_1#00040_1_15,00040,00040_1,00040_1_15,Muslim burqa and niqab should be banned.,"Burqa undermines identity, responsibility, social compact",1,0.0,0.0,0.0,0.0,0.0
00040_1#00040_1_16,00040,00040_1,00040_1_16,Muslim burqa and niqab should be banned.,Face-covering not required in Islam; no religious need,1,0.0,0.0,0.0,0.0,0.0
00040_1#00040_1_17,00040,00040_1,00040_1_17,Muslim burqa and niqab should be banned.,"Women should be able to wear what they want, including burqa",-1,0.0003795962829325483,0.00036856757825225184,0.0,0.0,0.0003795962829325483
00040_1#00040_1_18,00040,00040_1,00040_1_18,Muslim burqa and niqab should be banned.,"If neo-Nazis can wear their outfits, women can wear burqas.",-1,0.0,0.0,0.0,0.0,0.0
00040_1#00040_1_2,00040,00040_1,00040_1_2,Muslim burqa and niqab should be banned.,Burqa ban violates religious freedoms,-1,0.0,0.0,0.0,0.0,0.0
00040_1#00040_1_3,00040,00040_1,00040_1_3,Muslim burqa and niqab should be banned.,"Burqa can be criticized, but ban is excessive",-1,0.017996471335362862,0.003847702842148193,0.0,0.0,0.017996471335362862
00040_1#00040_1_4,00040,00040_1,00040_1_4,Muslim burqa and niqab should be banned.,State should not judge culture/burqa; slippery slope,-1,0.0,0.0,0.0,0.0,0.0
00040_1#00040_1_5,00040,00040_1,00040_1_5,Muslim burqa and niqab should be banned.,Burqa presents some security/safety risks for others.,1,0.0,0.0,0.0,0.0,0.0
00040_1#00040_1_6,00040,00040_1,00040_1_6,Muslim burqa and niqab should be banned.,"Limits can be imposed on burqa when necessary, but not ban",-1,1.2602733413731885e-06,0.00015733515811955888,0.0,0.0,0.00015733515811955888
00040_1#00040_1_7,00040,00040_1,00040_1_7,Muslim burqa and niqab should be banned.,General statements in favor of ban on burqa and niqab,1,0.0,0.0,0.0,0.0,0.0
00040_1#00040_1_8,00040,00040_1,00040_1_8,Muslim burqa and niqab should be banned.,Discomfort with burqa is inadequate to ban it,-1,0.0,0.0,0.0,0.0,0.0
00040_1#00040_1_9,00040,00040_1,00040_1_9,Muslim burqa and niqab should be banned.,Burqa ban violates rights of women to their own body.,-1,0.0,0.0,0.0,0.0,0.0
00055_13#00055_13_1,00055,00055_13,00055_13_1,Iraq should be partitioned into three autonomous sectarian regions.,The Shiite Islamist leader Abdul Aziz al-Hakim,1,0.0,0.0,0.0,0.0,0.0
00055_13#00055_13_2,00055,00055_13,00055_13_2,Iraq should be partitioned into three autonomous sectarian regions.,Many Shias would reject a US partition plan as an imperialist divide-and-conquer strategy:,-1,0.0,0.0,0.0,0.0,0.0
00055_13#00055_13_3,00055,00055_13,00055_13_3,Iraq should be partitioned into three autonomous sectarian regions.,Shias see a partition plan as a means of constraining the Sunnis:,1,0.0,0.0,0.0,0.0,0.0
00055_13#00055_13_5,00055,00055_13,00055_13_5,Iraq should be partitioned into three autonomous sectarian regions.,Shiite leaders opposing any partition plan:,-1,2.8985135007897864e-10,1.1206299358589644e-10,2.8911849763637713e-09,2.8911849763637713e-09,2.8911849763637713e-09
00055_13#00055_13_6,00055,00055_13,00055_13_6,Iraq should be partitioned into three autonomous sectarian regions.,"""The Supreme Council for Islamic Revolution in Iraq (SCIRI), a Shia party, advocate a southern federal region.""",1,0.0002121151305249543,0.00048216970464141435,0.0015404722164818786,0.0015404722164818786,0.0015404722164818786
00055_13#00055_13_7,00055,00055_13,00055_13_7,Iraq should be partitioned into three autonomous sectarian regions.,A substantial body of Shiites are committed to Iraqi Unity:,-1,2.4097976408276123e-09,5.328086504268237e-09,1.6491355801820505e-08,1.6491355801820505e-08,1.6491355801820505e-08
00055_13#00055_13_8,00055,00055_13,00055_13_8,Iraq should be partitioned into three autonomous sectarian regions.,Iraq Overall:,-1,0.0,0.0,0.0,0.0,0.0
00055_14#00055_14_1,00055,00055_14,00055_14_1,Iraq should be partitioned into three autonomous sectarian regions.,Claim that Arab Sunni Iraqis strongly reject the federalism envisioned by the Kurds:,-1,3.064318793697098e-08,8.655067004127437e-08,7.254382086270536e-07,7.254382086270536e-07,7.254382086270536e-07
