pairid,argid,propid_to,propid_from,text_to,text_from,relation,normarg_nneu2_4_0,normarg_nneu2_4_1,normarg_nneu2_4_2,normarg_nneu2_4_3
00015_16#00015_16_1,00015,00015_16,00015_16_1,Gay marriage should be legalized.,Gay marriage should not be banned for tradition,1,0.29421910294245285,0.0012043521061417047,0.5957439141667948,0.000975124640120818
00015_16#00015_16_2,00015,00015_16,00015_16_2,Gay marriage should be legalized.,How about washing?,1,0.006485341625868635,0.010843994803127704,0.004642215521924896,0.010067396858725586
00015_16#00015_16_3,00015,00015_16,00015_16_3,Gay marriage should be legalized.,Being unaccustomed to gay marriage is no argument,1,0.027536679036159965,0.4503716440680023,0.06636932220760985,0.49323187716994765
00015_16#00015_16_4,00015,00015_16,00015_16_4,Gay marriage should be legalized.,Gay marriage threatens cultural tradition of marriage,-1,0.06018885764113669,0.3220173549366615,0.029007012121131805,0.6158485958357204
00015_16#00015_16_5,00015,00015_16,00015_16_5,Gay marriage should be legalized.,Yes.  This is why supporters of same-sex marriage do not fight to legalize polygamy,-1,0.01523143351401533,0.2993188660742718,0.08726502246780506,0.6511528358242519
00040_1#00040_1_1,00040,00040_1,00040_1_1,Muslim burqa and niqab should be banned.,Burqa is socially divisive and damaging.,1,0.008540894713943616,0.771534084770316,0.05340325449658345,0.1683880365824839
00040_1#00040_1_10,00040,00040_1,00040_1_10,Muslim burqa and niqab should be banned.,"Women should assimilate, or return to Islamist states",1,0.10219851939978951,0.00029721255589488377,0.7965128774342621,0.0004261742380572073
00040_1#00040_1_11,00040,00040_1,00040_1_11,Muslim burqa and niqab should be banned.,Burqa can be banned on the grounds that it is indecent.,1,0.024067896897275357,0.27618077420473996,0.130184788579669,0.6908965101157684
00040_1#00040_1_12,00040,00040_1,00040_1_12,Muslim burqa and niqab should be banned.,"Freedom of dress is limited, including for full veil",1,0.05989448109428228,0.27328858153561547,0.3308357951465188,0.47631468286275624
00040_1#00040_1_13,00040,00040_1,00040_1_13,Muslim burqa and niqab should be banned.,"""Gods law"" on burqa cannot override secular human rights",1,0.17550344258199668,0.6074243703137983,0.02441295820084211,0.340392748595355
00040_1#00040_1_14,00040,00040_1,00040_1_14,Muslim burqa and niqab should be banned.,Burqa ban violates principles of mutual tolerance,-1,0.056689682800875475,0.3481038524035645,0.10707112055526855,0.5999819946135047
00040_1#00040_1_15,00040,00040_1,00040_1_15,Muslim burqa and niqab should be banned.,"Burqa undermines identity, responsibility, social compact",1,0.11185761178129139,0.7908637043425899,0.0161801867226829,0.16352799325828454
00040_1#00040_1_16,00040,00040_1,00040_1_16,Muslim burqa and niqab should be banned.,Face-covering not required in Islam; no religious need,1,0.48927834778273255,0.0070159868879434385,0.10619619028824617,0.008161909269861232
00040_1#00040_1_17,00040,00040_1,00040_1_17,Muslim burqa and niqab should be banned.,"Women should be able to wear what they want, including burqa",-1,0.10427012173503242,0.0001207221202023469,0.8146723916593612,0.0004554332014901751
00040_1#00040_1_18,00040,00040_1,00040_1_18,Muslim burqa and niqab should be banned.,"If neo-Nazis can wear their outfits, women can wear burqas.",-1,0.0069850506158105835,0.13768744696641902,0.05676670573506559,0.7278208075843597
00040_1#00040_1_2,00040,00040_1,00040_1_2,Muslim burqa and niqab should be banned.,Burqa ban violates religious freedoms,-1,0.0531793760911229,0.28588767806316473,0.14355302447090695,0.6398950839998799
00040_1#00040_1_3,00040,00040_1,00040_1_3,Muslim burqa and niqab should be banned.,"Burqa can be criticized, but ban is excessive",-1,0.041175577739817094,0.44833195338018866,0.0493239941354521,0.5116390768480348
00040_1#00040_1_4,00040,00040_1,00040_1_4,Muslim burqa and niqab should be banned.,State should not judge culture/burqa; slippery slope,-1,0.8204067322781559,0.0009167047544846629,0.10598120970112136,0.0002615748589622532
00040_1#00040_1_5,00040,00040_1,00040_1_5,Muslim burqa and niqab should be banned.,Burqa presents some security/safety risks for others.,1,0.0023955465428702823,0.7781097967172558,0.021725670444286707,0.18084220199100026
00040_1#00040_1_6,00040,00040_1,00040_1_6,Muslim burqa and niqab should be banned.,"Limits can be imposed on burqa when necessary, but not ban",-1,0.04964658260037581,0.4161833694366967,0.07741148512932827,0.5307932764992596
00040_1#00040_1_7,00040,00040_1,00040_1_7,Muslim burqa and niqab should be banned.,General statements in favor of ban on burqa and niqab,1,0.317358071802723,0.21940950400889653,0.09915316113387068,0.15646815785925414
00040_1#00040_1_8,00040,00040_1,00040_1_8,Muslim burqa and niqab should be banned.,Discomfort with burqa is inadequate to ban it,-1,0.06394804384638837,0.45610920311545744,0.07311891872906676,0.5045515372319073
00040_1#00040_1_9,00040,00040_1,00040_1_9,Muslim burqa and niqab should be banned.,Burqa ban violates rights of women to their own body.,-1,0.014202337394379354,0.21336094641549266,0.06850947082849766,0.7572366144757332
