pairid,argid,propid_to,propid_from,text_to,text_from,relation,sa_conf_npvp,sa_cons_npvp
00015_16#00015_16_1,00015,00015_16,00015_16_1,Gay marriage should be legalized.,Gay marriage should not be banned for tradition,1,0.9831786370617799,0.003506504603206907
00015_16#00015_16_2,00015,00015_16,00015_16_2,Gay marriage should be legalized.,How about washing?,1,7.078501784758019e-06,0.00032804867469226603
00015_16#00015_16_3,00015,00015_16,00015_16_3,Gay marriage should be legalized.,Being unaccustomed to gay marriage is no argument,1,0.5424114328886349,0.1840798390245224
00015_16#00015_16_4,00015,00015_16,00015_16_4,Gay marriage should be legalized.,Gay marriage threatens cultural tradition of marriage,-1,0.9593290021457465,0.005443628981179244
00015_16#00015_16_5,00015,00015_16,00015_16_5,Gay marriage should be legalized.,Yes.  This is why supporters of same-sex marriage do not fight to legalize polygamy,-1,0.9475154566388526,0.16799151175004162
00040_1#00040_1_1,00040,00040_1,00040_1_1,Muslim burqa and niqab should be banned.,Burqa is socially divisive and damaging.,1,0.001315226851008719,0.9805307832717277
00040_1#00040_1_10,00040,00040_1,00040_1_10,Muslim burqa and niqab should be banned.,"Women should assimilate, or return to Islamist states",1,0.03699593553756887,0.2578293904647575
00040_1#00040_1_11,00040,00040_1,00040_1_11,Muslim burqa and niqab should be banned.,Burqa can be banned on the grounds that it is indecent.,1,0.9220361813432931,0.98026331579265
00040_1#00040_1_12,00040,00040_1,00040_1_12,Muslim burqa and niqab should be banned.,"Freedom of dress is limited, including for full veil",1,0.5369708819177846,0.39454680583657936
00040_1#00040_1_13,00040,00040_1,00040_1_13,Muslim burqa and niqab should be banned.,"""Gods law"" on burqa cannot override secular human rights",1,0.7407390399576304,0.8166390552250826
00040_1#00040_1_14,00040,00040_1,00040_1_14,Muslim burqa and niqab should be banned.,Burqa ban violates principles of mutual tolerance,-1,0.9140552447288705,0.9636835611540575
00040_1#00040_1_15,00040,00040_1,00040_1_15,Muslim burqa and niqab should be banned.,"Burqa undermines identity, responsibility, social compact",1,0.009440078219844448,0.980122057658283
00040_1#00040_1_16,00040,00040_1,00040_1_16,Muslim burqa and niqab should be banned.,Face-covering not required in Islam; no religious need,1,0.023361123908547894,0.47278395867276757
00040_1#00040_1_17,00040,00040_1,00040_1_17,Muslim burqa and niqab should be banned.,"Women should be able to wear what they want, including burqa",-1,0.9845310592816802,0.025468388478797007
00040_1#00040_1_18,00040,00040_1,00040_1_18,Muslim burqa and niqab should be banned.,"If neo-Nazis can wear their outfits, women can wear burqas.",-1,0.8508251027332537,0.11046128669827922
00040_1#00040_1_2,00040,00040_1,00040_1_2,Muslim burqa and niqab should be banned.,Burqa ban violates religious freedoms,-1,0.9132846390970558,0.9628684262961331
00040_1#00040_1_3,00040,00040_1,00040_1_3,Muslim burqa and niqab should be banned.,"Burqa can be criticized, but ban is excessive",-1,0.9231752151894103,0.9868448807403514
00040_1#00040_1_4,00040,00040_1,00040_1_4,Muslim burqa and niqab should be banned.,State should not judge culture/burqa; slippery slope,-1,0.09571655105009724,0.9576082711137365
00040_1#00040_1_5,00040,00040_1,00040_1_5,Muslim burqa and niqab should be banned.,Burqa presents some security/safety risks for others.,1,0.03305208034217495,0.8765392546343294
00040_1#00040_1_6,00040,00040_1,00040_1_6,Muslim burqa and niqab should be banned.,"Limits can be imposed on burqa when necessary, but not ban",-1,0.9614404808049919,0.9741718660656691
00040_1#00040_1_7,00040,00040_1,00040_1_7,Muslim burqa and niqab should be banned.,General statements in favor of ban on burqa and niqab,1,0.8432776034207472,0.9636309076868655
00040_1#00040_1_8,00040,00040_1,00040_1_8,Muslim burqa and niqab should be banned.,Discomfort with burqa is inadequate to ban it,-1,0.9451161919566309,0.9843050993619554
00040_1#00040_1_9,00040,00040_1,00040_1_9,Muslim burqa and niqab should be banned.,Burqa ban violates rights of women to their own body.,-1,0.9139249259384655,0.9635469020772084
00055_13#00055_13_1,00055,00055_13,00055_13_1,Iraq should be partitioned into three autonomous sectarian regions.,The Shiite Islamist leader Abdul Aziz al-Hakim,1,9.982193926086451e-05,0.0001949005748307768
00055_13#00055_13_2,00055,00055_13,00055_13_2,Iraq should be partitioned into three autonomous sectarian regions.,Many Shias would reject a US partition plan as an imperialist divide-and-conquer strategy:,-1,0.043593422572272854,0.09075242155684993
00055_13#00055_13_3,00055,00055_13,00055_13_3,Iraq should be partitioned into three autonomous sectarian regions.,Shias see a partition plan as a means of constraining the Sunnis:,1,0.025963191767579337,0.05508241891928399
00055_13#00055_13_5,00055,00055_13,00055_13_5,Iraq should be partitioned into three autonomous sectarian regions.,Shiite leaders opposing any partition plan:,-1,0.1104424103416336,0.003795620940217414
00055_13#00055_13_6,00055,00055_13,00055_13_6,Iraq should be partitioned into three autonomous sectarian regions.,"""The Supreme Council for Islamic Revolution in Iraq (SCIRI), a Shia party, advocate a southern federal region.""",1,0.1630402152822661,0.309242149524761
00055_13#00055_13_7,00055,00055_13,00055_13_7,Iraq should be partitioned into three autonomous sectarian regions.,A substantial body of Shiites are committed to Iraqi Unity:,-1,0.9389962289749727,0.13311386107472614
00055_13#00055_13_8,00055,00055_13,00055_13_8,Iraq should be partitioned into three autonomous sectarian regions.,Iraq Overall:,-1,0.027689861594489686,0.011728087810490517
00055_14#00055_14_1,00055,00055_14,00055_14_1,Iraq should be partitioned into three autonomous sectarian regions.,Claim that Arab Sunni Iraqis strongly reject the federalism envisioned by the Kurds:,-1,0.06872914255374546,0.11519831377492704
00055_14#00055_14_2,00055,00055_14,00055_14_2,Iraq should be partitioned into three autonomous sectarian regions.,Claim that Sunnis fear being isolated from Iraqs oil resources:,-1,0.014211813847814801,0.19585019804432055
00055_14#00055_14_3,00055,00055_14,00055_14_3,Iraq should be partitioned into three autonomous sectarian regions.,"Claim that Sunnis may have the most to gain from a partitioning of Iraq, giving them reasons to change their general position to support for a partition plan:",1,0.8225492122723608,0.46044410421782495
00081_5#00081_5_1,00081,00081_5,00081_5_1,Women should breastfeed in public. It should be legal and protected.,If breastfeeders must cover; meateaters should eat under table,1,0.014371608096907285,0.7579051351229616
00081_5#00081_5_2,00081,00081_5,00081_5_2,Women should breastfeed in public. It should be legal and protected.,Breastfeeding is a privilege.,1,0.009477559968047694,0.773638402372482
