pairid,split
29870.111_29870.112,test
28455.552_28455.553,test
11784.8_11784.12,test
7043.54_7043.186,test
28455.552_28455.555,test
2439.3_2439.401,test
23492.2_23492.10,test
11784.8_11784.23,test
1400.25_1400.26,test
17775.7_17775.58,test
9339.59_9339.60,test
17775.7_17775.83,test
1324.657_1324.1880,test
1324.657_1324.663,test
16419.86_16419.170,test
16174.56_16174.57,test
23492.2_23492.11,test
27596.35_27596.120,test
7768.82_7768.84,test
2760.4_2760.38,test
30257.350_30257.351,test
15599.6_15599.18,test
30257.350_30257.352,test
2439.3_2439.377,test
2439.3_2439.54,test
25803.7_25803.146,test
27596.35_27596.114,test
28455.552_28455.556,test
1027.4993_1027.4994,test
17775.7_17775.26,test
13049.90_13049.330,test
11784.8_11784.29,test
25803.7_25803.203,test
2760.4_2760.120,test
17775.7_17775.82,test
2760.4_2760.55,test
17775.7_17775.91,test
11784.8_11784.26,test
14247.139_14247.148,test
30257.350_30257.353,test
16174.56_16174.60,test
12100.14_12100.30,test
7055.293_7055.294,test
2439.3_2439.70,test
28455.552_28455.554,test
2439.3_2439.32,test
25803.7_25803.243,test
2439.3_2439.542,test
29348.236_29348.273,test
1413.1514_1413.1558,test
10250.1304_10250.1418,test
10250.1304_10250.1691,test
11784.8_11784.38,test
13049.90_13049.229,test
16419.86_16419.92,test
12100.14_12100.28,test
29348.236_29348.238,test
29348.236_29348.237,test
11784.8_11784.24,test
1400.25_1400.518,test
11784.8_11784.31,test
2439.3_2439.539,test
1027.4993_1027.5008,test
2760.4_2760.69,test
7043.54_7043.187,test
12100.14_12100.44,test
2439.3_2439.30,test
14793.1_14793.13,test
11784.8_11784.18,test
2760.4_2760.36,test
1324.657_1324.950,test
1413.1514_1413.1572,test
12100.14_12100.41,test
4197.8_4197.23,test
7768.137_7768.168,test
17763.73_17763.85,test
14793.1_14793.14,test
25803.7_25803.106,test
23492.2_23492.14,test
7043.54_7043.97,test
17775.7_17775.30,test
2760.4_2760.34,test
1413.1514_1413.1556,test
9812.15_9812.16,test
12100.14_12100.29,test
14793.1_14793.12,test
1922.788_1922.844,train
4458.424_4458.657,train
9128.95_9128.96,train
8911.1_8911.153,train
2495.279_2495.388,train
6246.912_6246.1105,train
12828.9_12828.174,train
5685.1_5685.866,train
12551.3_12551.13,train
30181.708_30181.718,train
16454.2_16454.18,train
3692.296_3692.922,train
22454.323_22454.326,train
24773.3_24773.6,train
28434.13_28434.14,train
4650.1207_4650.1208,train
1379.375_1379.381,train
5359.4_5359.971,train
2141.491_2141.499,train
9326.89_9326.137,train
1266.1500_1266.1586,train
14247.187_14247.426,train
8708.3232_8708.3235,train
19160.5_19160.252,train
18429.2_18429.18,train
30320.1_30320.6,train
11266.1_11266.3,train
9394.1853_9394.1854,train
16994.5_16994.11,train
1203.860_1203.1050,train
18432.4_18432.42,train
18098.1_18098.166,train
2206.1072_2206.1489,train
2206.10_2206.1941,train
10220.154_10220.155,train
21102.19_21102.20,train
25243.2_25243.15,train
2649.537_2649.662,train
4013.8_4013.25,train
16340.115_16340.135,train
29993.197_29993.284,train
1622.103_1622.104,train
8539.4718_8539.4819,train
15052.29_15052.316,train
16473.1_16473.4,train
27936.94_27936.181,train
30065.4_30065.65,train
16980.10_16980.11,train
9649.51_9649.118,train
333.167_333.578,train
9647.336_9647.495,train
2762.502_2762.577,train
6949.9_6949.65,train
23269.1_23269.5,train
19119.86_19119.443,train
1471.303_1471.309,train
10296.18_10296.21,train
14491.1_14491.108,train
486.3273_486.3689,train
13439.272_13439.292,train
1335.136_1335.137,train
30884.15_30884.60,train
3371.1_3371.340,train
4748.960_4748.997,train
16068.4_16068.1183,train
10143.180_10143.181,train
16381.42_16381.43,train
10223.1149_10223.2060,train
9004.379_9004.435,train
30072.81_30072.84,train
3371.1_3371.249,train
2903.315_2903.327,train
1955.128_1955.137,train
2903.128_2903.1004,train
8040.832_8040.1208,train
5435.104_5435.106,train
16404.8_16404.43,train
4615.168_4615.326,train
1692.805_1692.1404,train
921.579_921.599,train
1472.119_1472.754,train
14073.10_14073.14,train
7734.18_7734.258,train
2219.308_2219.625,train
24279.98_24279.110,train
9967.1_9967.10,train
5685.1_5685.1164,train
15925.5_15925.17,train
1229.2001_1229.4063,train
4254.3_4254.35,train
8716.17_8716.22,train
8653.102_8653.103,train
9265.28_9265.226,train
2364.209_2364.613,train
4237.164_4237.452,train
11175.160_11175.161,train
23515.4_23515.12,train
30051.138_30051.407,train
17978.153_17978.154,train
13449.74_13449.75,train
10104.3_10104.1054,train
28423.300_28423.303,train
3346.2403_3346.2430,train
1260.327_1260.330,train
2368.82_2368.2040,train
16836.32_16836.335,train
444.50_444.374,train
4013.7_4013.35,train
25727.1_25727.29,train
16980.25_16980.29,train
30193.14_30193.15,train
8040.1509_8040.1516,train
16485.8_16485.187,train
1137.3_1137.87,train
15002.1_15002.54,train
30053.1_30053.6,train
4748.473_4748.599,train
5685.1_5685.2269,train
2813.351_2813.352,train
28906.368_28906.371,train
14699.146_14699.166,train
24909.27_24909.28,train
3371.11_3371.2127,train
1221.12_1221.54,train
3346.7445_3346.7591,train
2206.679_2206.680,train
2649.359_2649.615,train
7055.1479_7055.1533,train
1379.363_1379.389,train
2141.963_2141.1091,train
2995.17_2995.683,train
3371.1141_3371.1251,train
13387.84_13387.118,train
3346.6170_3346.7424,train
8427.1_8427.24,train
9963.26_9963.33,train
18304.279_18304.333,train
2027.630_2027.648,train
2629.3530_2629.7012,train
14247.403_14247.985,train
14478.310_14478.1796,train
22454.870_22454.1397,train
11720.618_11720.914,train
