pairid,split
7055.293_7055.1308,train
7734.468_7734.388,train
29348.236_29348.254,train
7055.293_7055.1291,train
7055.293_7055.1292,train
7055.293_7055.1519,train
10250.1304_10250.1137,train
7734.468_7734.560,train
10250.1304_10250.1638,train
10250.1304_10250.1129,train
10250.1304_10250.2055,train
7734.468_7734.456,train
7055.293_7055.1895,train
7734.468_7734.400,train
10250.1304_10250.1639,train
10250.1304_10250.1632,train
10250.1304_10250.1168,train
7734.468_7734.540,train
10250.1304_10250.1630,val
10250.1304_10250.964,test
7734.468_7734.1320,test
10250.1304_10250.1136,test
7734.468_7734.441,test
29348.236_29348.113,test
10250.1304_10250.1640,test
7055.293_7055.1518,test
10250.1304_10250.1629,test
7734.468_7734.370,test
29348.236_29348.386,test
7055.293_7055.1517,test
7055.293_7055.1975,test
10250.1304_10250.1130,test
10250.1304_10250.1167,test
10250.1304_10250.1431,test
10250.1304_10250.1404,test
10250.1304_10250.2061,test
7055.293_7055.1523,test
7734.468_7734.563,test
29348.236_29348.385,test
10250.1304_10250.965,test
7055.293_7055.1853,test
24278.221_24278.158,train
23850.372_23850.215,train
29827.336_29827.128,train
29365.435_29365.375,train
13219.326_13219.178,train
13112.487_13112.291,train
3371.3495_3371.1388,train
4650.540_4650.1452,train
984.958_984.1267,train
2364.598_2364.837,train
486.2313_486.3219,train
1229.1241_1229.6082,train
6288.399_6288.172,train
3346.1937_3346.6169,train
984.225_984.445,train
1048.98_1048.134,train
19119.612_19119.40,train
7055.1894_7055.376,train
29320.999_29320.901,train
29348.381_29348.243,train
2871.559_2871.361,train
3346.1786_3346.6145,train
2871.10_2871.561,train
8708.2007_8708.603,train
30339.899_30339.499,train
30339.775_30339.693,train
13283.826_13283.921,train
984.417_984.352,train
1229.1134_1229.1905,train
1764.304_1764.1569,train
2871.566_2871.932,train
24278.74_24278.404,train
2871.566_2871.312,train
30171.110_30171.246,train
12278.128_12278.549,train
3371.3816_3371.1284,train
23850.329_23850.722,train
3371.1247_3371.3929,train
13112.145_13112.486,train
23298.20_23298.1640,train
18042.221_18042.1025,train
4650.1212_4650.1452,train
13112.509_13112.39,train
1029.228_1029.520,train
1379.426_1379.263,train
29348.274_29348.248,train
23808.308_23808.221,train
2415.1570_2415.1964,train
28455.559_28455.163,train
30339.224_30339.860,train
7055.1238_7055.1523,train
2871.280_2871.541,train
24923.483_24923.122,train
7055.378_7055.1866,train
984.958_984.464,train
30257.29_30257.191,train
1048.725_1048.124,train
2415.752_2415.1752,train
12304.1543_12304.1825,train
4650.1444_4650.943,train
1764.154_1764.661,train
24279.333_24279.313,train
1324.4262_1324.2218,train
12304.1379_12304.2064,train
1048.132_1048.17,train
30257.345_30257.244,train
984.428_984.248,train
30339.268_30339.868,train
30171.355_30171.269,train
30339.779_30339.539,train
8319.1093_8319.1108,train
2629.5773_2629.17840,train
13112.7_13112.520,train
29929.239_29929.276,train
4650.739_4650.578,train
30171.313_30171.222,train
30171.346_30171.237,train
984.252_984.446,train
30279.606_30279.538,train
486.487_486.2305,train
1048.124_1048.1901,train
984.447_984.1057,train
29943.243_29943.228,train
13112.454_13112.260,train
984.42_984.394,train
3346.6169_3346.4670,train
921.3350_921.575,train
23850.845_23850.805,train
2211.574_2211.525,train
24279.110_24279.62,train
19119.87_19119.503,train
30171.293_30171.307,train
8708.606_8708.1808,train
1029.229_1029.535,train
3371.1232_3371.2949,train
4650.1217_4650.1020,train
29964.297_29964.388,train
4650.89_4650.1545,train
27791.817_27791.47,train
4650.1208_4650.1138,train
29993.287_29993.329,train
1048.69_1048.682,train
8522.680_8522.686,train
30738.378_30738.308,train
3346.1025_3346.6154,train
13283.572_13283.451,train
7055.1800_7055.1523,train
13112.258_13112.279,train
24252.526_24252.454,train
17715.192_17715.1343,train
2027.1412_2027.421,train
7055.1795_7055.1866,train
921.1688_921.1444,train
23808.382_23808.223,train
16560.227_16560.9,train
1048.1901_1048.133,train
2168.184_2168.47,train
2206.2591_2206.1461,train
29320.908_29320.438,train
2415.747_2415.557,train
4650.230_4650.1436,train
2871.560_2871.963,train
921.1166_921.3299,train
486.2303_486.909,train
921.3255_921.1444,train
3346.7471_3346.6156,train
3371.3495_3371.3929,train
12278.537_12278.144,train
29867.330_29867.221,train
2415.750_2415.1779,train
24278.295_24278.574,train
24923.322_24923.100,train
26120.212_26120.46,train
486.2686_486.3777,train
30171.214_30171.300,train
486.959_486.3730,train
2368.1667_2368.1607,train
1222.183_1222.98,train
12278.74_12278.367,train
12304.757_12304.1532,train
30257.215_30257.242,train
22454.1535_22454.238,train
10035.223_10035.183,train
24278.214_24278.176,train
29964.29_29964.241,train
19119.514_19119.575,train
12278.138_12278.161,train
13112.487_13112.78,train
486.3667_486.2547,train
18595.264_18595.55,train
984.401_984.85,train
1229.1244_1229.6569,train
1048.124_1048.2046,train
19119.544_19119.209,train
1764.659_1764.1213,train
24923.144_24923.327,train
18304.417_18304.535,train
984.891_984.480,train
13112.121_13112.511,train
1048.121_1048.1501,train
30446.490_30446.389,train
984.461_984.1314,train
7055.230_7055.1523,train
19119.74_19119.584,train
2871.218_2871.571,train
13283.1046_13283.413,train
1471.834_1471.549,train
7055.1894_7055.1830,train
12278.117_12278.162,train
29943.121_29943.324,train
1029.300_1029.520,train
4650.1050_4650.848,train
1048.122_1048.917,train
4650.1446_4650.929,train
30339.872_30339.832,train
984.650_984.447,train
19119.450_19119.508,train
13112.493_13112.181,train
29964.162_29964.260,train
921.1415_921.2659,train
1029.303_1029.88,train
30257.309_30257.23,train
10250.1145_10250.965,train
24279.253_24279.434,train
23808.168_23808.325,train
13112.181_13112.478,train
1222.289_1222.77,train
8708.2007_8708.3377,train
19119.185_19119.613,train
12304.471_12304.1616,train
30446.417_30446.336,train
984.41_984.696,train
18304.311_18304.366,train
486.3497_486.2683,train
30257.39_30257.274,train
8539.915_8539.3608,train
19119.470_19119.591,train
18304.358_18304.408,train
984.873_984.347,train
1048.132_1048.723,train
1029.228_1029.566,train
1029.227_1029.410,train
13112.348_13112.205,train
984.1745_984.243,train
984.1239_984.1340,train
2629.4997_2629.8896,train
984.1674_984.433,train
1029.392_1029.287,train
3371.1783_3371.3939,train
23850.723_23850.315,train
30339.775_30339.20,train
486.3709_486.2302,train
4650.1217_4650.382,train
4650.861_4650.1435,train
14258.378_14258.289,train
3346.4957_3346.6137,train
13112.388_13112.490,train
19119.504_19119.240,train
3371.1094_3371.3642,train
10250.1418_10250.977,train
1029.248_1029.81,train
2211.522_2211.359,train
14491.789_14491.292,train
30171.79_30171.319,train
921.441_921.1165,train
984.1755_984.459,train
1764.682_1764.441,train
