pairid,split
24278.155_24278.303,train
24278.155_24278.122,train
24278.155_24278.405,train
24278.160_24278.255,train
24278.160_24278.365,train
24278.160_24278.291,train
24278.160_24278.230,train
24278.160_24278.558,train
24278.160_24278.396,train
24278.160_24278.74,train
6492.1419_6492.529,train
2364.32_2364.314,train
30738.346_30738.417,train
30738.346_30738.382,train
30738.346_30738.395,train
8319.1004_8319.1008,train
8539.5105_8539.1890,train
12140.5_12140.49,train
23956.1_23956.138,train
2871.898_2871.573,train
2871.65_2871.362,train
2871.65_2871.264,train
2871.65_2871.664,train
2871.65_2871.187,train
2871.65_2871.240,train
2871.65_2871.263,train
2871.65_2871.827,train
2871.65_2871.242,train
2871.65_2871.265,train
2871.65_2871.773,train
2871.65_2871.322,train
2871.65_2871.438,train
2871.65_2871.337,train
2871.65_2871.136,train
2871.65_2871.627,train
2871.65_2871.183,train
2871.65_2871.302,train
2871.65_2871.285,train
2871.65_2871.585,train
7865.1_7865.580,train
30738.153_30738.382,train
23850.476_23850.600,train
23850.476_23850.845,train
23850.476_23850.807,train
1785.112_1785.706,train
2141.963_2141.1202,train
18098.1_18098.356,train
1414.1_1414.1406,train
1414.1_1414.1391,train
7734.696_7734.714,train
16068.1394_16068.2906,train
9980.27_9980.102,train
2871.16_2871.563,train
8457.5_8457.18,train
16218.6_16218.432,train
16083.10_16083.353,train
28620.153_28620.286,train
30339.349_30339.452,train
30339.349_30339.451,train
1233.82_1233.525,train
5359.3_5359.485,train
801.1405_801.2502,train
3454.4_3454.83,train
11504.23_11504.407,train
29320.113_29320.1013,train
29320.113_29320.981,train
14253.1_14253.21,train
29867.183_29867.330,train
13673.2067_13673.796,train
12304.1516_12304.1619,train
27936.1_27936.596,train
8764.24_8764.228,train
3615.1_3615.472,train
10310.1_10310.62,train
1472.9_1472.488,train
7865.201_7865.602,train
1414.15_1414.412,train
1414.60_1414.542,train
13365.1_13365.31,train
8337.20_8337.69,train
30447.3_30447.63,train
16617.771_16617.160,train
16617.771_16617.215,train
1413.356_1413.1405,train
29348.238_29348.337,train
29348.238_29348.325,train
29348.238_29348.246,train
29348.238_29348.368,train
29964.73_29964.204,train
29964.73_29964.261,train
17978.1_17978.449,train
17978.1_17978.447,train
17978.1_17978.459,train
14699.1_14699.92,train
14699.1_14699.312,train
14699.1_14699.281,train
14699.1_14699.530,train
19119.111_19119.626,train
19119.111_19119.501,train
984.1328_984.1426,train
984.1328_984.771,train
984.1328_984.1533,train
984.1328_984.671,train
23808.5_23808.144,train
23808.5_23808.355,train
23808.5_23808.364,train
27530.9_27530.29,train
13864.365_13864.377,train
13864.349_13864.294,train
13864.349_13864.39,train
13864.349_13864.364,train
13864.349_13864.351,train
16242.1_16242.43,train
1474.118_1474.648,train
5359.52_5359.799,train
5359.52_5359.792,train
16070.30_16070.191,train
25158.104_25158.558,train
3371.3929_3371.1247,train
3371.2074_3371.3508,train
3371.2074_3371.3632,train
15593.938_15593.1060,train
9827.77_9827.358,train
2168.26_2168.152,train
7768.76_7768.109,train
9326.205_9326.314,train
5685.1_5685.3545,train
16107.14_16107.61,train
24923.1_24923.545,train
8776.1_8776.78,train
984.1453_984.41,train
984.1453_984.1271,train
984.1453_984.435,train
984.1453_984.673,train
984.459_984.671,train
984.459_984.456,train
984.459_984.674,train
984.459_984.343,train
984.459_984.618,train
984.459_984.1267,train
984.459_984.401,train
984.459_984.1328,train
486.1724_486.3491,train
486.3188_486.1955,train
486.3188_486.2231,train
486.3188_486.2860,train
2415.598_2415.607,train
2415.598_2415.617,train
2871.39_2871.629,train
2871.614_2871.552,train
2871.614_2871.537,train
24326.8_24326.31,train
2415.992_2415.751,train
2415.992_2415.1442,train
3346.4958_3346.7263,train
3346.4958_3346.7076,train
1323.124_1323.2703,train
9143.52_9143.546,train
9143.52_9143.540,train
9143.52_9143.674,train
9143.52_9143.552,train
2177.3_2177.93,train
28996.7_28996.119,train
14247.1_14247.2048,train
14247.1_14247.1793,train
30279.181_30279.57,train
13057.23_13057.98,train
10250.1081_10250.1167,train
19119.520_19119.443,train
29320.789_29320.902,train
13673.2_13673.597,train
30188.5_30188.281,train
30188.5_30188.334,train
6182.1_6182.1089,train
6182.1_6182.799,train
6182.1_6182.1247,train
6182.1_6182.319,train
6182.1_6182.1297,train
6182.1_6182.1244,train
23808.308_23808.326,train
11406.1_11406.51,train
8708.47_8708.289,train
6246.1027_6246.1207,train
984.1307_984.405,train
984.1307_984.1272,train
24278.239_24278.217,train
24278.239_24278.325,train
17968.1_17968.51,train
17968.28_17968.93,train
30171.237_30171.137,train
30171.237_30171.238,train
14956.3_14956.488,train
16340.12_16340.204,train
3346.6170_3346.2613,train
3346.6170_3346.6158,train
2415.752_2415.2247,train
921.1372_921.3297,train
30446.5_30446.290,train
2871.556_2871.214,train
2871.556_2871.562,train
2871.556_2871.573,train
2871.65_2871.594,train
14053.179_14053.205,train
14053.179_14053.177,train
14053.179_14053.245,train
1029.303_1029.300,train
1029.303_1029.304,train
18595.270_18595.193,train
18595.270_18595.276,train
11720.2_11720.359,train
11720.2_11720.449,train
4650.162_4650.1192,train
30279.49_30279.538,train
16485.1_16485.172,train
18304.395_18304.394,train
18304.395_18304.560,train
18304.395_18304.372,train
18304.395_18304.360,train
18304.395_18304.393,train
13219.60_13219.182,train
13219.60_13219.329,train
1715.397_1715.677,train
1715.397_1715.902,train
1715.397_1715.1065,train
6492.138_6492.890,train
6492.818_6492.1596,train
2366.7_2366.55,train
2366.7_2366.84,train
984.460_984.33,train
984.31_984.414,train
984.31_984.1453,train
984.31_984.468,train
984.31_984.467,train
9821.7_9821.411,train
10104.1_10104.861,train
10104.1_10104.863,train
10104.1_10104.1358,train
10104.1_10104.807,train
10104.715_10104.862,train
12304.1_12304.1598,train
8319.917_8319.1018,train
18593.571_18593.524,train
18593.571_18593.632,train
4650.554_4650.813,train
486.2335_486.3031,train
486.2335_486.1960,train
486.2335_486.1716,train
984.874_984.865,train
984.874_984.1341,train
984.874_984.1452,train
984.874_984.447,train
984.874_984.750,train
984.1297_984.165,train
984.1297_984.454,train
984.1297_984.393,train
12964.1_12964.19,train
12964.15_12964.25,train
12964.15_12964.20,train
3346.1954_3346.5798,train
12304.1_12304.1489,train
14860.1_14860.52,train
8708.2007_8708.647,train
2408.4_2408.3221,train
2408.4_2408.802,train
2408.4_2408.1043,train
3371.3195_3371.3490,train
3371.3195_3371.3497,train
3371.3195_3371.3952,train
3371.3488_3371.2185,train
3371.3488_3371.1538,train
18187.13_18187.419,train
30667.11_30667.27,train
15091.1_15091.34,train
24431.807_24431.2412,train
24431.886_24431.887,train
30311.4_30311.126,train
8653.1_8653.52,train
29355.7_29355.53,train
24279.64_24279.196,train
28455.41_28455.122,train
30339.870_30339.16,train
16645.30_16645.34,train
15052.986_15052.579,train
15052.986_15052.580,train
4237.1_4237.190,train
4237.1_4237.53,train
29827.3_29827.168,train
3346.6254_3346.6169,train
2629.17413_2629.8893,train
16863.2_16863.268,train
16863.2_16863.270,train
984.290_984.899,train
984.290_984.834,train
984.290_984.249,train
984.290_984.318,train
984.290_984.227,train
984.890_984.212,train
984.890_984.170,train
984.890_984.775,train
984.890_984.11,train
984.890_984.30,train
984.890_984.1756,train
984.890_984.651,train
984.890_984.1751,train
984.890_984.1182,train
12158.8_12158.65,train
18437.1_18437.42,train
18437.1_18437.27,train
2415.598_2415.715,train
2415.598_2415.632,train
12304.1617_12304.1998,train
12304.1617_12304.1848,train
12304.1617_12304.1616,train
12304.1617_12304.1599,train
12304.1617_12304.1531,train
1592.64_1592.1152,train
24279.92_24279.156,train
24279.92_24279.59,train
29555.1_29555.65,train
4650.1_4650.70,train
4650.1_4650.1554,train
29964.298_29964.230,train
29964.325_29964.369,train
29964.325_29964.173,train
29964.325_29964.259,train
16083.1_16083.332,train
8040.1_8040.671,train
8040.1_8040.595,train
30738.3_30738.27,train
5637.1340_5637.2114,train
5637.1340_5637.1425,train
29248.5_29248.194,train
2233.5_2233.23,train
9965.4_9965.22,train
24431.6_24431.148,train
1324.1709_1324.1957,train
3346.4957_3346.6145,train
3346.4957_3346.6174,train
3346.4957_3346.3457,train
26876.3_26876.386,train
26876.3_26876.331,train
26876.3_26876.158,train
26876.20_26876.387,train
26876.20_26876.265,train
5428.20_5428.447,train
16244.4_16244.397,train
26865.1_26865.189,train
4654.2_4654.488,train
1222.23_1222.262,train
24279.31_24279.110,train
24279.31_24279.343,train
24279.31_24279.333,train
24279.31_24279.344,train
11175.6_11175.298,train
16617.771_16617.633,train
16617.771_16617.717,train
25158.23_25158.63,train
19160.1_19160.92,train
19160.1_19160.296,train
19160.1_19160.252,train
4401.68_4401.343,train
8708.447_8708.1873,train
8708.1860_8708.2006,train
23850.723_23850.869,train
13520.1_13520.215,train
9760.6_9760.101,train
30171.163_30171.351,train
30171.163_30171.144,train
30171.163_30171.68,train
30171.163_30171.355,train
30171.163_30171.258,train
8764.22_8764.212,train
13061.1_13061.22,train
7055.500_7055.971,train
30060.52_30060.55,train
14255.5_14255.1501,train
14255.5_14255.993,train
30339.26_30339.866,train
8539.1_8539.756,train
8539.1_8539.2899,train
8539.1_8539.2907,train
8539.1_8539.43,train
18042.42_18042.932,train
15593.1_15593.1091,train
30257.280_30257.221,train
30257.280_30257.204,train
24909.58_24909.85,train
2415.19_2415.955,train
2415.19_2415.952,train
26938.31_26938.97,train
12304.1849_12304.1541,train
2415.1_2415.2159,train
2415.1_2415.182,train
2415.1_2415.1021,train
4650.776_4650.1435,train
4650.776_4650.1511,train
1692.136_1692.758,train
3615.1_3615.697,train
3615.1_3615.1052,train
3615.1_3615.606,train
3615.1_3615.837,train
3615.1_3615.566,train
3615.1_3615.565,train
14258.157_14258.284,train
15593.1_15593.673,train
13112.492_13112.493,train
2871.552_2871.253,train
2871.560_2871.556,train
2762.407_2762.2388,train
15590.1_15590.66,train
15590.1_15590.260,train
6844.410_6844.287,train
15955.184_15955.211,train
30188.200_30188.278,train
12278.144_12278.149,train
12278.392_12278.164,train
12278.392_12278.377,train
12278.392_12278.194,train
3371.976_3371.3937,train
3371.976_3371.3936,train
1474.171_1474.866,train
9361.1_9361.117,train
12304.204_12304.2070,train
29348.1_29348.264,train
18595.15_18595.289,train
7055.594_7055.1782,train
7055.594_7055.1894,train
29365.45_29365.403,train
3371.2945_3371.3929,train
486.1061_486.3513,train
984.1745_984.377,train
984.1745_984.41,train
984.1745_984.1756,train
984.1745_984.168,train
984.1745_984.352,train
984.1745_984.349,train
29365.4_29365.374,train
2211.513_2211.924,train
6835.74_6835.119,train
4839.10_4839.109,train
7587.251_7587.264,train
9128.7_9128.164,train
18098.1_18098.173,train
18098.1_18098.610,train
7865.471_7865.837,train
984.154_984.750,train
984.154_984.1344,train
18042.3_18042.514,train
30339.893_30339.903,train
13673.51_13673.291,train
13673.52_13673.504,train
23626.6_23626.47,train
11720.7_11720.1307,train
11720.7_11720.1303,train
18595.275_18595.30,train
24278.111_24278.240,train
1922.4_1922.2675,train
10223.14_10223.749,train
