pairid,split
5601.1_5601.873,train
29906.4_29906.12,train
9059.1_9059.23,train
2027.1_2027.209,train
14255.6_14255.401,train
2995.2_2995.770,train
12945.209_12945.226,train
9980.1_9980.4,train
9812.1_9812.7,train
25803.1_25803.241,train
22454.3_22454.81,train
15434.1_15434.4714,train
985.1_985.646,train
2903.1_2903.750,train
10214.3_10214.21,train
2027.2274_2027.2347,train
8547.19_8547.95,train
14410.1_14410.8,train
14255.1_14255.1967,train
14255.1_14255.417,train
5292.134_5292.297,train
22454.1_22454.10,train
12945.1_12945.206,train
9124.1_9124.40,train
1048.1_1048.1801,train
16566.1_16566.179,train
3346.1_3346.2273,train
2368.1_2368.1756,train
16863.1_16863.144,train
4540.1_4540.694,train
3346.1_3346.6854,train
19648.1_19648.70,train
15900.4_15900.40,train
4458.73_4458.511,train
1926.1_1926.734,train
1413.1_1413.3040,train
4540.1_4540.1889,train
16322.1_16322.661,train
13673.1_13673.383,train
9746.1_9746.6,train
12828.1_12828.414,train
3346.1_3346.7518,train
21363.1_21363.12,train
1634.1_1634.6196,train
2214.1_2214.1708,train
13348.1_13348.82,train
3346.1_3346.3653,train
1324.1_1324.2630,train
14053.1_14053.329,train
8516.1_8516.567,train
4540.1_4540.83,train
1470.1_1470.182,train
5637.1_5637.4570,train
2214.1_2214.1592,train
1922.1_1922.539,train
14345.1_14345.11,train
6295.1_6295.530,train
1634.1_1634.2619,train
5465.1_5465.52,train
801.321_801.1646,train
1229.1_1229.3440,train
14956.1_14956.570,train
1291.1_1291.2072,train
9878.1_9878.77,train
1413.2_1413.59,train
4148.724_4148.729,train
2408.1_2408.3720,train
2495.1_2495.420,train
2141.1_2141.1044,train
25497.3_25497.531,train
16566.1_16566.2,train
2995.3_2995.1188,train
1266.1_1266.704,train
2219.1_2219.386,train
3253.1_3253.80,train
24623.1_24623.7,train
4540.1_4540.79,train
4148.724_4148.1998,train
17840.1_17840.13,train
18590.1_18590.3,train
2995.2_2995.506,train
16566.1_16566.35,train
10068.1_10068.106,train
21194.1_21194.5,train
6351.8_6351.1208,train
9197.1_9197.34,train
1634.1_1634.5753,train
13517.3_13517.18,train
12626.1_12626.404,train
30857.3_30857.11,train
6295.1_6295.2584,train
10214.1_10214.14,train
14410.1_14410.32,train
4540.1_4540.979,train
1634.1_1634.3280,train
2469.1_2469.112,train
2495.1_2495.396,train
2762.1_2762.4401,train
2868.1_2868.4,train
1634.1_1634.2973,train
16560.67_16560.80,train
1634.1_1634.4123,train
6288.1_6288.216,train
14119.1_14119.7,train
14258.1_14258.533,train
14255.1_14255.1263,train
14956.1_14956.565,train
10250.1_10250.347,train
30339.856_30339.857,train
1926.3_1926.1795,train
985.1_985.1041,train
23911.1_23911.4,train
5601.1_5601.1124,train
3454.1_3454.4,train
1634.1_1634.6997,train
5601.1_5601.872,train
2871.332_2871.606,train
9980.1_9980.313,train
9396.1_9396.9,train
29946.24_29946.257,train
2141.1_2141.1034,train
9762.1_9762.462,train
6351.8_6351.2797,train
21159.1_21159.161,train
1926.1_1926.1041,train
3346.6151_3346.6153,train
1926.3_1926.73,train
1229.1_1229.1995,train
1764.15_1764.870,train
2995.1273_2995.1989,train
17856.1_17856.9,train
9360.1_9360.217,train
12100.1_12100.31,train
2027.2274_2027.2509,train
13449.1_13449.96,train
14974.9_14974.23,train
444.1_444.32,train
939.1_939.749,train
2903.1_2903.130,train
3185.1_3185.62,train
23796.1_23796.6,train
18387.1_18387.2,train
14255.1_14255.313,train
1323.1_1323.2615,train
2762.1_2762.443,train
15434.1_15434.2174,train
1229.1_1229.7,train
