pairid,split
921.3234_921.1419,train
2871.332_2871.561,train
30339.856_30339.201,train
3346.6151_3346.4973,train
3346.6151_3346.260,train
3346.5165_3346.6151,train
3371.3947_3371.2162,train
3371.3454_3371.3940,train
7018.381_7018.487,train
3346.6151_3346.1511,train
10134.499_10134.1398,train
3346.6151_3346.3237,train
3346.6151_3346.4511,train
30446.444_30446.502,train
921.3177_921.469,train
984.357_984.317,train
2871.1_2871.562,train
3346.6151_3346.1810,train
3346.6151_3346.11997,train
18595.269_18595.283,train
29827.1_29827.374,train
984.357_984.348,train
18595.269_18595.250,train
3346.6151_3346.12426,train
3346.1536_3346.6152,train
4650.3_4650.1436,train
984.357_984.750,train
30171.231_30171.291,train
12304.1492_12304.1617,train
3346.6151_3346.3263,train
16068.847_16068.1449,train
3346.6151_3346.5603,train
29365.199_29365.150,train
30339.856_30339.906,train
18593.522_18593.346,train
30171.231_30171.134,train
3346.6151_3346.2806,train
30171.231_30171.293,train
30339.856_30339.451,train
18595.263_18595.269,train
3346.6151_3346.6199,train
3371.3214_3371.3947,train
3346.6151_3346.3892,train
984.357_984.249,train
29365.100_29365.221,train
12278.1_12278.164,train
3371.3936_3371.155,train
30339.856_30339.588,train
3346.1_3346.6153,train
3371.3947_3371.3940,train
2871.332_2871.570,train
30171.231_30171.334,train
3346.6151_3346.4875,train
29365.199_29365.304,train
3346.6014_3346.6151,train
12304.1492_12304.1848,train
3346.272_3346.6152,train
3346.6151_3346.6999,train
3346.1_3346.6175,train
3346.6812_3346.6145,train
3346.7517_3346.6151,train
30339.856_30339.773,train
3346.6151_3346.1081,train
921.3177_921.1164,train
921.3177_921.929,train
3346.6151_3346.92,train
3346.6151_3346.2271,train
3346.6167_3346.4275,train
3346.6151_3346.4183,train
3346.6151_3346.268,train
3346.5603_3346.6152,train
921.3177_921.3429,train
3346.6151_3346.11174,train
3346.6151_3346.2406,train
29365.199_29365.306,train
3346.6151_3346.96,train
30339.856_30339.311,train
3346.6151_3346.9035,train
3346.6151_3346.4824,train
12278.1_12278.150,train
3346.6151_3346.2332,train
7018.381_7018.593,train
3346.6151_3346.3770,train
29365.199_29365.417,train
12278.457_12278.150,train
18593.522_18593.574,train
29365.100_29365.220,train
984.357_984.55,train
18304.408_18304.294,train
12304.1492_12304.1529,train
10250.424_10250.1639,train
3346.6151_3346.4962,train
3346.97_3346.6151,train
3346.6151_3346.587,train
3346.6151_3346.4958,train
3346.6151_3346.1922,train
984.357_984.292,train
3346.6151_3346.4893,train
16617.658_16617.779,train
1048.1501_1048.137,train
984.364_984.312,train
3346.6139_3346.2303,train
4650.1513_4650.95,train
7055.363_7055.1571,train
4650.1445_4650.478,train
3346.4846_3346.6147,train
29365.230_29365.220,train
984.668_984.89,train
2415.2056_2415.844,train
13112.491_13112.260,train
4650.1448_4650.496,train
984.1473_984.457,train
19119.682_19119.451,train
16617.658_16617.513,train
3371.2204_3371.2942,train
486.3303_486.2308,train
984.609_984.466,train
1764.1250_1764.1435,train
30257.23_30257.274,train
10049.177_10049.170,train
3346.6176_3346.5793,train
10250.1638_10250.1823,train
1029.509_1029.426,train
984.419_984.630,train
984.480_984.1266,train
3346.4349_3346.6153,train
3346.2614_3346.2017,train
2415.1135_2415.747,train
1029.141_1029.299,train
984.382_984.1760,train
984.863_984.714,train
984.471_984.769,train
921.3306_921.1419,train
486.2296_486.3296,train
963.202_963.178,train
16560.181_16560.231,train
10250.1630_10250.1651,train
29964.251_29964.324,train
13283.1048_13283.242,train
984.1443_984.425,train
1048.125_1048.725,train
3346.6176_3346.2024,train
13283.296_13283.1046,train
984.392_984.149,train
921.631_921.1240,train
3346.4349_3346.6159,train
1029.146_1029.291,train
1029.830_1029.286,train
10035.182_10035.223,train
984.46_984.415,train
3346.6154_3346.2562,train
13283.1063_13283.451,train
921.3021_921.3504,train
3346.5954_3346.4981,train
9394.2196_9394.951,train
10250.1514_10250.1638,train
984.1338_984.191,train
486.2296_486.3662,train
963.178_963.57,train
7055.1522_7055.1908,train
29320.910_29320.1031,train
19119.390_19119.548,train
921.3240_921.1415,train
3346.2614_3346.6409,train
23298.40_23298.1640,train
12304.1541_12304.1819,train
16617.658_16617.815,train
984.433_984.1745,train
12304.1541_12304.1381,train
3346.6154_3346.2991,train
984.561_984.1338,train
984.1274_984.1096,train
18593.470_18593.221,train
30339.860_30339.310,train
984.419_984.761,train
486.2292_486.3750,train
3346.2614_3346.3652,train
13112.444_13112.78,train
984.888_984.834,train
1048.1501_1048.124,train
984.1456_984.1275,train
1048.1502_1048.137,train
12304.70_12304.1617,train
20564.8_20564.377,train
23808.72_23808.297,train
10250.531_10250.1164,train
3371.1780_3371.2185,train
3346.4511_3346.6175,train
921.631_921.3299,train
4650.1381_4650.1419,train
1048.1185_1048.106,train
984.364_984.147,train
1029.830_1029.285,train
984.419_984.60,train
19119.682_19119.557,train
984.888_984.406,train
984.419_984.1575,train
1029.141_1029.288,train
984.396_984.1574,train
1379.170_1379.425,train
3346.6167_3346.7039,train
2903.1564_2903.333,train
12278.632_12278.144,train
12304.1902_12304.1513,train
8040.1506_8040.1360,train
1048.2705_1048.136,train
3346.2584_3346.6169,train
2995.853_2995.2317,train
3346.6176_3346.6834,train
10250.1629_10250.1080,train
1029.574_1029.223,train
13112.248_13112.520,train
984.174_984.534,train
3346.6176_3346.5014,train
7055.627_7055.1895,train
29365.405_29365.55,train
13112.1003_13112.258,train
486.2544_486.3750,train
486.2115_486.3489,train
3346.6139_3346.6274,train
24279.367_24279.66,train
3346.6138_3346.263,train
1029.509_1029.223,train
1048.108_1048.1185,train
13112.283_13112.494,train
12304.1542_12304.2105,train
12304.1621_12304.1613,train
1029.39_1029.228,train
2871.345_2871.562,train
3346.6167_3346.4837,train
984.863_984.403,train
7055.1522_7055.454,train
3346.6176_3346.5592,train
984.1274_984.228,train
4650.1445_4650.691,train
486.139_486.2306,train
486.2695_486.3486,train
486.3697_486.2307,train
5637.2094_5637.5585,train
13112.1003_13112.473,train
9394.2005_9394.2199,train
4650.1070_4650.1108,train
3346.6154_3346.5972,train
22454.1280_22454.1601,train
20564.51_20564.36,train
1029.19_1029.304,train
3346.2615_3346.5777,train
486.2292_486.3662,train
3346.5734_3346.6175,train
2629.4230_2629.8896,train
3371.2204_3371.2162,train
984.392_984.197,train
13112.491_13112.172,train
18593.585_18593.317,train
1222.77_1222.276,train
12304.70_12304.1825,train
16617.432_16617.664,train
921.599_921.576,train
4650.1103_4650.1308,train
984.437_984.456,train
16068.112_16068.1440,train
3346.6176_3346.4793,train
20564.8_20564.50,train
984.765_984.461,train
25158.550_25158.197,train
984.1304_984.750,train
7055.1956_7055.1851,train
3346.6138_3346.261,train
24431.662_24431.953,train
29365.186_29365.68,train
7055.1189_7055.1975,train
984.1473_984.446,train
984.420_984.55,train
3346.3705_3346.6167,train
3346.4349_3346.2596,train
18042.1071_18042.747,train
486.3875_486.2300,train
3371.1248_3371.1538,train
16617.883_16617.772,train
3371.2204_3371.3940,train
8708.1490_8708.2005,train
13520.89_13520.141,train
3346.2615_3346.5643,train
486.2292_486.3275,train
20564.7_20564.733,train
963.176_963.290,train
5637.5821_5637.1923,train
3346.6154_3346.3166,train
984.84_984.448,train
14272.486_14272.504,train
3346.2614_3346.4727,train
921.3343_921.103,train
2871.392_2871.571,train
3346.2614_3346.5329,train
3371.2544_3371.2042,train
10250.1638_10250.321,train
13283.294_13283.1048,train
1048.2749_1048.127,train
16617.658_16617.124,train
3371.1780_3371.3645,train
30171.286_30171.291,train
3371.1780_3371.449,train
486.2296_486.3489,train
1048.93_1048.1991,train
984.437_984.248,train
921.3299_921.1689,train
3371.3214_3371.1810,train
486.2306_486.2430,train
12304.1542_12304.775,train
7734.452_7734.349,train
12304.1902_12304.1996,train
2903.781_2903.333,train
3346.5142_3346.6174,train
984.888_984.1338,train
14247.447_14247.1115,train
12278.548_12278.162,train
3346.6138_3346.4837,train
984.1338_984.1495,train
984.761_984.1298,train
1029.831_1029.304,train
7734.359_7734.813,train
984.1456_984.435,train
4650.1445_4650.661,train
921.3299_921.1443,train
1229.4663_1229.4070,train
2629.8843_2629.17692,train
984.419_984.978,train
13112.444_13112.488,train
1029.542_1029.312,train
984.668_984.247,train
984.761_984.1326,train
13219.344_13219.181,train
3346.2537_3346.6167,train
30171.286_30171.228,train
4650.1553_4650.1440,train
7734.560_7734.815,train
12304.1542_12304.1996,train
9760.421_9760.330,train
486.2292_486.3296,train
984.288_984.480,train
7734.359_7734.127,train
921.2778_921.3481,train
16617.272_16617.658,train
4650.559_4650.841,train
18593.101_18593.471,train
1592.331_1592.82,train
3346.6138_3346.3134,train
4650.1513_4650.680,train
24923.459_24923.320,train
7734.560_7734.349,train
24431.670_24431.887,train
486.2292_486.3754,train
3346.2541_3346.5954,train
24431.160_24431.660,train
10250.547_10250.1637,train
984.360_984.1756,train
984.1338_984.246,train
13283.821_13283.896,train
7734.452_7734.675,train
1029.574_1029.257,train
921.439_921.3035,train
1048.1892_1048.119,train
984.364_984.228,train
2415.2056_2415.2209,train
24923.459_24923.394,train
14247.447_14247.571,train
13283.622_13283.912,train
3371.1780_3371.2934,train
2368.1567_2368.1689,train
12304.1542_12304.696,train
984.471_984.345,train
3346.2543_3346.6146,train
13673.1170_13673.965,train
1048.1892_1048.93,train
13112.171_13112.264,train
