pairid,split
6148.1_6148.45,train
6148.1_6148.148,train
6148.1_6148.107,train
6148.1_6148.25,train
6148.1_6148.43,train
6148.1_6148.65,train
6148.1_6148.286,train
6148.1_6148.61,train
16674.17_16674.128,train
16674.17_16674.40,train
16674.17_16674.19,train
16674.17_16674.133,train
16674.17_16674.41,train
16674.17_16674.58,train
16674.17_16674.135,train
16674.17_16674.46,train
14255.1_14255.107,train
14255.1_14255.561,train
14255.1_14255.841,train
14255.1_14255.1254,train
14255.1_14255.1627,train
14255.1_14255.341,train
14255.1_14255.103,train
14255.1_14255.401,train
14255.1_14255.393,train
14255.1_14255.627,train
14255.1_14255.237,train
14255.1_14255.1429,train
14255.1_14255.1490,train
14255.1_14255.64,train
14255.1_14255.137,train
14255.1_14255.632,train
14255.1_14255.534,train
14255.1_14255.2126,train
14255.1_14255.1262,train
14255.1_14255.859,train
1473.1_1473.682,train
1473.1_1473.738,train
1473.1_1473.318,train
1473.1_1473.747,train
1473.1_1473.667,train
1473.1_1473.742,train
1473.1_1473.757,train
1473.1_1473.699,train
1473.1_1473.580,train
1473.1_1473.740,train
4148.1_4148.166,train
4148.1_4148.95,train
4148.1_4148.37,train
4148.1_4148.552,train
4148.1_4148.836,train
4148.1_4148.744,train
4148.1_4148.796,train
1835.264_1835.860,train
1835.264_1835.846,train
1835.264_1835.446,train
1835.264_1835.447,train
1835.264_1835.445,train
1922.1_1922.796,train
1922.1_1922.794,train
1922.1_1922.2743,train
1922.1_1922.1054,train
1922.1_1922.72,train
1922.1_1922.2441,train
1922.1_1922.52,train
1922.1_1922.2710,train
1922.1_1922.2185,train
1922.1_1922.1381,train
1922.1_1922.2022,train
1922.1_1922.791,train
1922.1_1922.1505,train
1922.1_1922.2544,train
1922.1_1922.2017,train
2408.1_2408.2193,train
2408.1_2408.3231,train
2408.1_2408.3659,train
2408.1_2408.1334,train
2408.1_2408.611,train
2408.1_2408.893,train
2408.1_2408.2318,train
2408.1_2408.411,train
2408.1_2408.479,train
2408.1_2408.931,train
2408.1_2408.61,train
2408.1_2408.1809,train
2408.1_2408.3282,train
2408.1_2408.1810,train
2408.1_2408.1452,train
29993.1_29993.75,train
29993.1_29993.200,train
29993.1_29993.12,train
29993.1_29993.72,train
29993.1_29993.190,train
29993.1_29993.77,train
29993.1_29993.20,train
29993.1_29993.107,train
984.229_984.572,train
984.229_984.358,train
984.229_984.431,train
984.229_984.428,train
984.229_984.366,train
984.229_984.360,train
984.229_984.1538,train
984.229_984.371,train
984.229_984.55,train
984.229_984.348,train
984.229_984.292,train
984.229_984.249,train
12304.1444_12304.1904,train
12304.1444_12304.1623,train
12304.1444_12304.1901,train
12304.1444_12304.1896,train
12304.1444_12304.1529,train
4555.1_4555.202,train
4555.1_4555.72,train
4555.1_4555.94,train
4555.1_4555.114,train
4555.1_4555.60,train
2091.1_2091.1780,train
2091.1_2091.2676,train
2091.1_2091.1229,train
2091.1_2091.2255,train
2091.1_2091.1239,train
2091.1_2091.1675,train
2091.1_2091.2754,train
2091.1_2091.1235,train
2091.1_2091.1569,train
16068.1_16068.878,train
16068.1_16068.933,train
16068.1_16068.851,train
16068.1_16068.1012,train
16068.1_16068.1313,train
16068.1_16068.854,train
16068.1_16068.893,train
1764.1_1764.816,train
1764.1_1764.929,train
1764.1_1764.851,train
1764.1_1764.774,train
1764.1_1764.551,train
1764.1_1764.1277,train
1764.1_1764.412,train
1764.1_1764.1532,train
1764.1_1764.27,train
1764.1_1764.739,train
1764.1_1764.1441,train
1764.1_1764.471,train
1764.1_1764.1025,train
1764.1_1764.36,train
1764.1_1764.102,train
1764.1_1764.1021,train
1764.1_1764.191,train
1764.1_1764.1547,train
1764.1_1764.104,train
1764.1_1764.718,train
1764.1_1764.333,train
1048.131_1048.124,train
1048.131_1048.116,train
1048.131_1048.137,train
1048.131_1048.130,train
1470.1_1470.461,train
1470.1_1470.1546,train
1470.1_1470.92,train
1470.1_1470.342,train
1470.1_1470.1552,train
1470.1_1470.358,train
1470.1_1470.1027,train
1470.1_1470.1538,train
1470.1_1470.1567,train
1470.1_1470.1030,train
1470.1_1470.10,train
1470.1_1470.35,train
921.3299_921.3298,train
1764.12_1764.340,train
1764.12_1764.432,train
1764.12_1764.341,train
1764.12_1764.628,train
1764.12_1764.590,train
13292.1_13292.42,train
8606.1_8606.347,train
8606.1_8606.366,train
8606.1_8606.381,train
4148.1_4148.1890,train
4148.1_4148.1915,train
4148.1_4148.2372,train
4148.1_4148.727,train
4148.1_4148.1998,train
4148.1_4148.2026,train
4148.1_4148.729,train
4148.1_4148.1748,train
4148.1_4148.731,train
4148.1_4148.2360,train
4148.1_4148.2375,train
4148.1_4148.2416,train
4148.1_4148.2407,train
4148.1_4148.881,train
4148.1_4148.2410,train
4148.1_4148.1363,train
7304.1_7304.149,train
7304.1_7304.220,train
7304.1_7304.316,train
7304.1_7304.734,train
7304.1_7304.710,train
7304.1_7304.151,train
7304.1_7304.88,train
7304.1_7304.199,train
3346.1_3346.6149,train
15900.1_15900.40,train
15900.1_15900.91,train
15900.1_15900.56,train
15900.1_15900.64,train
13520.63_13520.178,train
13520.63_13520.83,train
13520.63_13520.100,train
13520.63_13520.98,train
13520.63_13520.103,train
13520.63_13520.76,train
13520.63_13520.110,train
13520.63_13520.82,train
10134.10_10134.116,train
10134.10_10134.40,train
10134.10_10134.707,train
10134.10_10134.29,train
19119.1_19119.65,train
19119.1_19119.454,train
19119.1_19119.233,train
19119.1_19119.704,train
19119.1_19119.372,train
19119.1_19119.339,train
19119.1_19119.1172,train
19119.1_19119.10,train
23597.1_23597.42,train
23597.1_23597.37,train
29827.1_29827.351,train
1926.1_1926.1532,train
1926.1_1926.1338,train
1926.1_1926.1836,train
1926.1_1926.1366,train
1926.1_1926.341,train
1926.1_1926.340,train
1926.1_1926.85,train
1926.1_1926.1227,train
1926.1_1926.1034,train
1926.1_1926.1308,train
1926.1_1926.9,train
1926.1_1926.1616,train
1926.1_1926.711,train
1926.1_1926.473,train
1926.1_1926.1235,train
1926.1_1926.974,train
1926.1_1926.1747,train
1926.1_1926.1804,train
1926.1_1926.1619,train
1926.1_1926.1213,train
1926.1_1926.753,train
1926.1_1926.1611,train
1926.1_1926.1541,train
1926.1_1926.1480,train
1926.1_1926.1322,train
1926.1_1926.1226,train
1926.1_1926.722,train
1926.1_1926.1177,train
1926.1_1926.1283,train
1926.1_1926.1271,train
15978.1_15978.204,train
15978.1_15978.744,train
15978.1_15978.476,train
15978.1_15978.267,train
15978.1_15978.964,train
15978.1_15978.823,train
15978.1_15978.1084,train
15978.1_15978.952,train
15978.1_15978.1013,train
15978.1_15978.71,train
15978.1_15978.157,train
15978.1_15978.951,train
15978.1_15978.80,train
15978.1_15978.346,train
15978.1_15978.193,train
15978.1_15978.1004,train
15978.1_15978.208,train
23850.1_23850.605,train
23850.1_23850.467,train
10214.1_10214.12,train
10214.1_10214.221,train
10214.1_10214.21,train
10214.1_10214.34,train
10214.1_10214.27,train
10214.1_10214.166,train
10214.1_10214.141,train
10214.1_10214.365,train
10214.1_10214.38,train
10214.1_10214.164,train
5601.1_5601.1491,train
5601.1_5601.883,train
5601.1_5601.1786,train
5601.1_5601.933,train
5601.1_5601.1259,train
5601.1_5601.2329,train
5601.1_5601.1905,train
3346.1_3346.6145,train
3346.1_3346.6147,train
3346.1_3346.6173,train
2408.1_2408.1083,train
2408.1_2408.2376,train
2408.1_2408.1100,train
2408.1_2408.1087,train
2408.1_2408.3420,train
2408.1_2408.3225,train
2408.1_2408.4030,train
2408.1_2408.3076,train
2408.1_2408.2977,train
2408.1_2408.3415,train
2408.1_2408.1247,train
2408.1_2408.1822,train
2408.1_2408.3445,train
2408.1_2408.1089,train
2408.1_2408.3817,train
2408.1_2408.3440,train
2408.1_2408.2978,train
2408.1_2408.1099,train
2408.1_2408.3024,train
2408.1_2408.3563,train
2408.1_2408.3207,train
8246.1_8246.181,train
8246.1_8246.183,train
8246.1_8246.233,train
8246.1_8246.186,train
8246.1_8246.240,train
14255.1_14255.1083,train
14255.1_14255.136,train
14255.1_14255.830,train
14255.1_14255.67,train
14255.1_14255.1076,train
14255.1_14255.680,train
14255.1_14255.779,train
14255.1_14255.93,train
14255.1_14255.1092,train
14255.1_14255.1373,train
14255.1_14255.2460,train
14255.1_14255.310,train
7304.1_7304.431,train
7304.1_7304.25,train
7304.1_7304.592,train
7304.1_7304.553,train
7304.1_7304.613,train
7304.1_7304.715,train
7304.1_7304.11,train
7304.1_7304.78,train
7304.1_7304.330,train
7304.1_7304.3,train
7304.1_7304.218,train
