id,fold,type,label,text1,text2
because-20020731-nyt.ann-E162,0,Consequence,cause,his prosecution is an abrogation of the most basic standards of justice,The verdict should be annulled
because-1854675.ann-E13,1,Motivation,cause,the Israeli occupation,its fighters largely stay underground
because-CHRG-111shrg61651.ann-E30,2,Motivation,cause,I am concerned about the economics,I believe as a part of a comprehensive reform that Mr. Volcker's idea with regard to separation of some of these functions makes a lot of sense
because-CHRG-110hhrg44900-1.ann-E45,3,Consequence,obstruct,specific indicators,another Bear Stearns
because-wsj_1700.ann-E2,4,Consequence,cause,the Western powers,communist domination
because-1820510.ann-E6,5,Purpose,cause,order his soldiers to kill all military-age males,he did not use ``specific language''
because-1851302.ann-E9,6,Consequence,cause,"every Mexican in the United States who arrived before Jan. 1, 2007, is legalized","enforcement inside the United States, including discriminatory raids, will become redundant"
because-1854691.ann-E4,7,Motivation,cause,observing them ``turkey peeking'' at their squad's convoy from behind a wall nearby,he and Sergeant Wuterich pursued the men into the house
because-CHRG-110hhrg44900-2.ann-E32,8,Motivation,cause,what has been excellent work in very difficult circumstances,I would just like to thank them
because-wsj_2004.ann-E1,9,Consequence,cause,"shares of UAL, United's parent company, dived $24.875 on the Big Board to close at $198",Messrs. Wolf and Pope saw their prospective personal fortunes continue to plummet
because-wsj_1446.ann-E1,0,Purpose,cause,lure clients to his doorstep,he isn't using the telephone
because-wsj_1829.ann-E10,1,Motivation,cause,it was realized that ``there were no show-stoppers'' in the 150-plus buildings on its one-square-mile campus,workers were asked to head to work yesterday
because-CHRG-110hhrg44900-1.ann-E81,2,Motivation,cause,his leadership on this issue,thank Congressman Garrett
because-1854573.ann-E12,3,Purpose,cause,win recruits,what Al Qaeda and other groups do
because-wsj_1446.ann-E16,4,Motivation,cause,the firm's guilty plea to federal insider-trading charges,settle with Drexel
because-wsj_1504.ann-E10,5,Motivation,cause,he was through,"the court members asked many questions, then the chairman said they would like to hear his manager's side and talk to witnesses"
because-1851265.ann-E15,6,Consequence,cause,nuanced enough,not be a blanket provision
because-1821059.ann-E6,7,Consequence,cause,chaos has deepened,Parliament's relevance has gradually receded
because-CHRG-111shrg61651.ann-E31,8,Motivation,cause,I am concerned of the nature of the impact that these various activities have on the players and the financial markets,I believe as a part of a comprehensive reform that Mr. Volcker's idea with regard to separation of some of these functions makes a lot of sense
because-1855590.ann-E1,9,Consequence,obstruct,the persistent car and suicide bombings,political reconciliation
because-1852160.ann-E21,0,Motivation,cause,that is not a form of amnesty,I don't know what is
because-1855404.ann-E17,1,Consequence,cause,injuries caused by an explosion,The other two were killed on Saturday in Baghdad
