id,con,pre,rel,con_polar,con_P,pre_polar,pre_senti,pre_jtype,pre_Q,conpre_polar
18593#521_9196#6,"A right being less fundamental does mean that it should not come at the expense of a fundamental right, such as freedom of religion.",Mobile phones in the classroom would make it easier for students to cheat.,neu,object,"A right being less fundamental come at the expense of a fundamental right, such as freedom of religion",,,,,neutral
6980#45_6980#48,Canada needs Quebec to stay.,In case of independence the eastern provinces are isolated from Canada and might join Québec.,sup,advocate,"Canada, Quebec to stay",object,negative,conseq,In case of independence the eastern provinces are isolated from Canada and might join Québec,contrast
18481#1_4415#373,Genetic engineering should be easily accessible to the public.,"One could argue that we do not have today the technology to counter the biological effects of decreased Martian gravity, even if we might find solutions in the future. This is not a problem on the clouds of Venus. Other problems that cloud cities on Venus pose can more easily be addressed with today's technologies.",neu,advocate,Genetic engineering be easily accessible to the public,,,,,neutral
17840#1_1528#1103,Podcast guidelines should concern content “intended as” rather than content that “could be construed as” insensitive.,"Gluttony is the issue with which society should take exception. Indulging beyond the needs of nutrition can occur in all people, and would require more personal honesty and humility. Obesity is an outward appearance may be the result of a situation warranting compassion and kindness, not ridicule and shame.",neu,advocate,Podcast guidelines concern content “intended as” insensitive,,,,,neutral
10134#838_10134#1024,Unlimited tolerance can lead to the extinction of tolerance. Defending tolerance requires to not tolerate the intolerant.,"Ethically, you need only tolerate the tolerant. Since hate speech is focused on attributes one is born with and thus not changeable, hate speech is by definition intolerant.",sup,object,tolerate the intolerant,object,positive,norm,"Ethically, you need only tolerate the tolerant",consist
7944#1_6086#117,Food service workers should not be required to wear gloves.,Glucose is a sugar and is essential for the body to function. Carbohydrates are the best nutrient source for glucose hence why diabetics treat hypos through intake of sugars.,neu,object,Food service workers be required to wear gloves,,,,,neutral
1926#120_26938#61,"For a 'right' to exist, it needs to be considered either a moral or legal entitlement.","In our economic system, ones wealth automatically grows in value (mostly in the form of interest.) This leaves people in possession of value they have not earned. A wealth tax would fix this miss-allocation.",neu,advocate,a 'right' be considered either a moral or legal entitlement,,,,,neutral
9863#4_9863#7,No real skills nor proof of them is needed to contribute.,"This might be considered a pro as well as it means that contribution is not reserved to the people with ""skills"". Anyone may contribute however they want.",sup,object,real skills nor proof to contribute,object,positive,norm,Anyone may contribute however they want,consist
10134#21_13449#225,Government cannot and should not make every morally wrong act illegal.,"like below said, forcing someone to do something is not good",neu,object,Government make every morally wrong act illegal,,,,,neutral
5637#1_22454#611,Pregnant people should have the right to choose abortion.,"Powers you grant the government when people you agree with are in control remain when they leave, and are difficult to win back.",neu,advocate,Pregnant people have the right to choose abortion,,,,,neutral
