id,fold,label,target,text
irish-16,0,neg,Fianna Fail,BBC_Joe_Lynam and u believe people in fianna fail . What are you a numbskull or a journalist ?
irish-882,1,neg,Fianna Fail,They're slippery as eels right now - but I have an assesment of numbers in the pro and anti camps within Fianna Fail . Drivetime next
irish-2369,2,pos,Brian Cowen,( AP ) AP - Prime Minister Brian Cowen won a confidence vote .
irish-2493,3,pos,Gerry Adams,Gerry Adams spotted at the Donmar Warehouse . he knows his onions !
irish-60,4,neg,Fine Gael,EimearNicanB It's typical FF power at all costs . I want them out but equally I have fook all faith in Fine Gael as a majority alternative
irish-1900,5,neu,Fine Gael,JC tells me richard mulcahy was leader of fine gael when costello was taoiseach .
irish-890,6,neg,Gerry Adams,This is why no-one should vote Sinn Fein ge11-adams-ill-see-a-united-ireland-in-my-lifetime-2011-01/
irish-1794,7,neu,Fianna Fail,If Cowen doesnt have a PR person . Someone better tell my friend who works in the Fianna Fail press office lstwrd
irish-141,8,neg,Sinn Fein,rtefrontline seems sinn fein are take a leaf from Ian Paisley no no no to everything . They need to get real we need to take hard choices
irish-1174,9,neu,Sinn Fein,sinnfeinireland )
irish-2252,0,neu,Eamon Gilmore,team giving a press conference on today's events . GE11
irish-1149,1,neu,Eamon Gilmore,RebeccaMoy Unfortunately not . Just paraphrasing Eamon Gilmore from Late Late show .
irish-878,2,neg,Fianna Fail,The vote to determine the leader of Fianna Fail last night was like a vote to determine who should captain the Titanic . JustSoIrish
irish-380,3,neg,Fine Gael,Delighted to hear about Shane Ross . Delighted he said no to Fine Gael .
irish-757,4,neg,Eamon Gilmore,PaulGogartyTD : Eamon Gilmore what a cynical move from the ? 2500 SIPTU man . We facilitated election str8 after important budget legis .
irish-1993,5,neu,Gerry Adams,Leo Varadkar and Gerry Adams on Morning Ireland now watch the webcam here morningireland
irish-1341,6,neu,Brian Cowen,Breaking news : taoiseach Brian cowen accepts letters of resignation from Noel Dempsey Tony killeen and dermot ahern .
irish-1318,7,neu,Sinn Fein,As Sinn Fein would say - Tiochaidh at La - rtept
irish-799,8,neg,Fine Gael,Serious smell of want off Fine Gael and Lab .
irish-1024,9,neu,Fine Gael,davidcochrane HAve Fine Gael announced Anthony Daly for Clare yet or is that still in ' rumour ' territory ?
irish-2232,0,neu,Gerry Adams,Steward of the Chiltern Hundreds : Gerry Adams . Makes him if I recall correctly an officer in the pay of the Crown . Funny old world .
irish-1587,1,neu,Fine Gael,FINE Gael has called for a major initiative to encourage food producers and processors to benefit from EU-wide e .
irish-2073,2,neu,Brian Cowen,not interview a constitutional expert on the Brian Cowen / constitutional vacuum issue rather than quoting from blogs ?
irish-2090,3,neu,Sinn Fein,Orange hall attacks : United front needed against hate crimes say Sinn Fein MPs
irish-669,4,neg,John Gormley,John Gormley . WAAAAAHHH
irish-1787,5,neu,Fianna Fail,I'm just waiting for Jim Corr . Hoping he'll out Fianna Fail as the Illuminati . Or even Tubs . : 0 ) latelate
irish-1449,6,neu,Fine Gael,Credit ?' Cuiv at least he pronounces Fine Gael properly ! ffleader
irish-1868,7,neu,Fianna Fail,Irish prime minister Brian Cowen wins a confidence vote in his leadership of the ruling Fianna Fail party .
irish-714,8,neg,Brian Cowen,Morning all . In honour of Brian Cowen and Ireland's 71/163 government
irish-891,9,neg,Sinn Fein,This proves that some Sinn Fein politicians are barking mad-northern-ireland-12255189
irish-888,0,neg,Fine Gael,This is an official Fine Gael poster Ireland 2.0 Rainbow Puke Edition ?
irish-15,1,neg,Brian Cowen,BatesDarren Not at all . Just entrenching Brian Cowen .
irish-489,2,neg,Fine Gael,Fuck Fine Fail Fuck Fine Gael they are part of the same political establishment who's greed screwed OUR country ! TIME FOR SOMETHING NEW
irish-2287,3,neu,Gerry Adams,They should've dubbed Gerry Adams ' voice over this guy so we could all understand him better TakeMeOut
irish-1162,4,neu,Sinn Fein,RTE_PrimeTime Why do you not have a rep from Sinn Fein ? Were they invited ? ge11
irish-1218,5,neu,Fianna Fail,europe Cowen denies communication problem : The Taoiseach has disputed claims that Fianna Fail would win m . news
irish-2181,6,neu,Sinn Fein,Sinn Fein : Time for UUP to remove McGimpsey from Executive : Sinn Fein Assembly member John ODowd has called on .
irish-1391,7,neu,Gerry Adams,By-election in Belfast West . Gerry Adams standing for the Dail . SDLP pick up ? They've done it before ! Another vote against Coalition .
irish-1793,8,neu,Fianna Fail,If Brian cowen goes fianna fail will still have a disasterous election
irish-2183,9,neu,Sinn Fein,Sinn Fein : Young Scientist Awards Need Supporting : Sinn Fein Education Minister Caitriona Ruane has congratulate .
irish-1058,0,neu,Gerry Adams,irasocol She has also been to Gerry Adams ' office .
irish-1699,1,neu,Fianna Fail,Get Things Moving- with Sean Haughey -Fianna Fail-1997 Dublin North Central
irish-242,2,neg,Fianna Fail,All I can say for those Irish election polls is that I am stunned . Knew Fianna Fail were in trouble but wow . ' Others ' on 20 seats also !
irish-1606,3,neu,Fine Gael,Fine Gael settle on three candidate for Clare constituency choice of Mulcahy shows they're seriously going for 3 seats
irish-1131,4,neu,Gerry Adams,OppositionUK Out of interest has Gerry Adams become an officer of the Crown to resign as MP for West Belfast ? Is he taking over from Iris ?
irish-586,5,neg,Fianna Fail,I've to work tomorrow which should just cover the new taxes so basically I've to work all day for no money thanks Fianna Fail .
irish-1028,6,neu,Sinn Fein,drivetimerte Don't forget to point out that he's simply copying Sinn Fein's motion of no confidence in Cowen .
irish-2288,7,neu,Fine Gael,They've Blown It ! FF/PD Government Squander 5 Golden Years ' -Gavin Doyle Michael Joe Cosgrave -Fine Gael 2002 Dub NE
irish-872,8,neg,Brian Cowen,The Party dont start til Brian Cowen walks out . ( 8 )
irish-2060,9,neu,Brian Cowen,News Update : Irish Prime Minister Calls for Early Elections - Brian Cowen announced an earlier-than-expected general .
irish-1245,0,neu,John Gormley,irish Coalition to discuss election timetable after Cowen win : Green Party leader John Gormley will meet the Ta .
irish-821,1,neg,Fine Gael,So its most likely we will have to wait until labour/fine gael fail until we get sinn fein in govt - ye thats typical irish isnt it ge2011
irish-2505,2,pos,Fianna Fail,I don't want to conform so . I'm voting Fianna Fail on March 11th
irish-2145,3,neu,Brian Cowen,Sean Fitzpatrick : Brian Cowen threatens to sue TDs over Sean Fitzpatrick claims - Irish Central
irish-1961,4,neu,Sinn Fein,know for a fact of ' I'll pay tour TV Licence fee ' for a vote by Sinn Fein are any others doing the same ? ge11
irish-509,5,neg,Eamon Gilmore,Gilmore thinks he's going to alter the IMF deal if he gets in on March 11 . Dream on Eamon more Labour fantasy . People wont buy into that
